ATG7_T1	ATG7_T2	ATG7_T3	pMXS_T1	pMXS_T2	pMXS_T3
9830132P13Rik	1567	1807	1262	1355	1461	1447
Gm43053	57	37	17	37	54	58
Gm10650	168	169	130	132	129	155
D030025E07Rik	3	1	0	2	0	3
Gm43656	2841	2718	1719	2386	2308	2479
Gm22293	167	168	131	140	128	143
Gm43824	790	712	461	908	883	814
4933424H11Rik	4241	4268	2787	4095	4142	3876
Gm4410	4	8	5	10	2	14
Gm9387	0	0	0	0	0	0
Gm28543	2174	2287	1667	1886	2001	1993
Pitx2	480	464	255	445	402	430
Gm27195	3993	3926	2910	3598	3805	3878
Gm43697	16	20	13	22	8	4
Enpep	864	897	593	1009	1024	841
Gm42628	0	1	0	0	0	1
Gm42629	34	27	24	74	83	41
Gm42630	0	2	0	0	0	0
Gm5712	779	731	600	771	714	758
Rpl7a-ps7	75	70	34	57	97	94
Gm35986	0	0	0	0	0	0
Elovl6	497	477	313	501	421	477
Gm43072	2958	2849	2162	1890	2208	2696
Egf	2310	2223	1678	2082	2097	2396
Gm24515	1020	890	750	975	1074	1128
Gm42697	25	33	22	42	43	44
Gm42650	0	0	0	2	4	0
6330410L21Rik	290	334	242	349	418	398
Lrit3	130	110	69	80	124	102
Rrh	617	681	455	609	514	445
Gar1	1704	1947	1529	1539	1738	1886
Cfi	1565	1704	1090	1829	2000	1961
Pla2g12a	404	355	186	281	376	330
Casp6	344	337	221	327	310	304
Ccdc109b	185	191	111	320	257	263
Sec24b	2	2	4	6	1	4
Gm9396	6604	6695	4871	7182	7243	6632
Gm42663	4126	4359	3046	4000	3891	3865
Col25a1	44	21	4	67	56	49
Gm9397	0	0	0	0	0	0
Gm22682	91	101	63	125	118	128
Gm43210	0	0	0	0	0	0
Gm43211	18	12	4	67	20	31
Gm42837	7	2	0	45	18	15
Etnppl	68	172	201	106	121	424
Ostc	389	352	197	459	696	600
Gm42998	522	512	420	379	389	587
Rpl34	355	249	225	300	164	248
Gm42997	184	212	147	192	180	151
Gm43524	718	795	482	766	673	493
Gm43522	0	0	0	0	0	0
2010110G14Rik	414	416	367	321	411	396
Gm5982	0	0	0	0	0	0
Gm36520	261	366	277	405	330	669
Gm26090	0	3	0	0	0	0
Gm43351	961	966	723	1021	1151	1064
Gm43350	713	727	464	568	588	586
5830437K03Rik	0	0	0	0	0	0
Gm43349	0	0	0	0	0	0
Gm5855	11	24	12	13	12	27
A430072C10Rik	8	7	1	9	17	7
Gm43352	1	0	1	0	0	0
Lef1	28	42	20	131	46	28
Gm42449	0	0	0	0	0	0
Hadh	5	0	1	3	1	5
Gm18492	18	3	14	14	10	9
Cyp2u1	115	40	47	80	131	169
4930534D22Rik	1758	1658	1111	1587	1870	1758
Sgms2	1	0	0	0	0	1
Gm43116	2	4	4	11	0	2
Papss1	0	0	0	0	1	0
Gm42881	1850	1849	1371	1513	1641	2050
Gm29865	2043	2203	1694	2689	2667	2472
Olfr375-ps1	85	64	39	309	329	179
Gm26103	0	0	0	0	0	0
Gm22421	0	0	0	0	0	0
Dkk2	7	1	4	2	11	7
Gm42880	446	516	355	392	409	479
Gm25307	0	2	1	1	4	7
Gimd1	1332	1247	679	1303	1280	1120
Gm9402	1705	1670	987	1848	1901	1604
Aimp1	354	226	183	295	252	318
Tbck	1	1	0	9	1	12
Gm42872	710	595	443	794	731	664
Gm22322	0	1	3	2	0	0
Gm42876	24	36	27	24	16	16
Gm29811	0	0	0	1	0	0
Gm9403	212	199	170	184	232	263
Npnt	6	4	10	2	1	10
Gm23196	338	285	207	343	355	304
Gstcd	734	824	590	862	787	844
Gm19148	467	444	330	434	496	388
Gm42874	119	112	92	201	160	149
Gm42873	1364	1278	789	1130	1293	1117
Ints12	1594	1807	967	1246	1431	1374
Arhgef38	0	0	0	0	0	0
Gm43254	2300	2264	1609	2244	2213	2303
Ppa2	2	8	1	9	4	9
Gm25042	234	292	174	256	275	266
Tet2	0	2	0	1	7	3
Gm42567	1838	1872	1234	2039	2180	1896
Gm23011	0	2	0	1	1	2
Gm23011.1	0	0	0	0	1	3
Gm37228	0	0	0	0	0	0
Gm42563	0	0	0	0	0	0
Gm6135	1596	1604	992	1328	1186	1003
Gm30484	1	3	1	5	3	0
Gm26691	0	3	0	1	0	0
Gm44361	47	47	39	51	61	54
Gm43192	0	0	0	0	0	0
Gm43193	358	392	254	414	371	384
Gm43194	1790	1617	1168	903	1138	1761
Cxxc4	13	15	15	39	14	36
Mir1895	99	71	37	109	54	62
Gm43559	53	77	50	162	72	101
Gm43558	2499	2570	1819	2852	2850	2570
Gm6077	0	0	0	0	0	0
4930539C22Rik	0	1	0	0	0	2
Gm26820	1402	1360	909	800	1084	1371
Tacr3	2	0	0	0	0	0
Gm4860	36	39	26	50	40	68
Gm43036	0	0	0	0	0	0
Gm43035	0	0	1	0	0	0
Gm2142	812	752	467	774	745	683
Gm24048	353	338	232	392	418	351
Gm18546	245	197	183	203	188	188
Gm43033	1661	1672	1086	1813	1728	1892
Cenpe	0	0	0	0	0	0
Bdh2	32	10	15	72	47	30
Slc9b2	0	0	0	0	0	0
Slc9b1	1	0	6	3	0	5
Cisd2	448	471	276	346	389	414
2810428J06Rik	1338	1294	920	1192	1382	1458
Gm43379	0	0	0	0	0	0
4930539J05Rik	1220	1181	797	1120	1321	1420
Ube2d3	523	524	355	521	460	599
Gm42807	5623	5192	3740	5604	5351	5085
Manba	63	34	64	43	48	71
Gm16100	575	613	495	615	571	560
Oaz2-ps	0	0	0	0	0	0
Nfkb1	1	0	3	6	0	2
Gm43430	7028	6622	3626	6380	6936	5482
Slc39a8	318	282	274	288	328	324
4933401H06Rik	2393	2515	1963	2191	2591	2617
Gm43429	211	214	152	264	234	248
Gm43428	956	960	838	867	852	970
Gm18330	0	0	0	0	0	0
Gm43603	867	881	666	651	757	863
Gm43602	217	158	124	211	235	190
Gm5281	201	199	119	245	165	193
Bank1	72	77	40	93	81	48
Gm9408	415	419	307	472	414	380
Gm43402	2290	2452	2017	2157	2320	2482
1700030L20Rik	5245	5165	3526	5518	6207	5959
Ppp3ca	0	0	0	0	0	1
Gm42822	0	0	0	0	0	0
4930599N24Rik	3	11	0	0	4	1
Gm44327	101	115	77	212	211	143
Gm43357	0	0	2	0	0	0
Gm9409	490	428	329	433	498	449
Gm43356	0	0	0	0	0	0
Gm26107	261	214	140	184	269	277
Gm567	1152	1119	803	1336	1205	1124
Emcn	5	12	10	25	9	15
Gm4861	1969	2059	1424	1673	2074	2463
Gm22468	64	122	38	192	484	155
Ddit4l	12	17	10	19	4	22
Gm30946	1582	1660	1011	1582	1631	1645
Gm21962	253	201	184	273	282	225
Gm42610	277	298	191	301	242	204
Gm25080	3935	4034	2925	4533	4548	3909
Mir6380	988	1172	778	871	865	908
Gm31678	241	239	189	250	305	243
Gm43403	2610	2666	1830	2220	2511	2695
H2afz	722	773	475	855	1033	880
Dnajb14	1486	1406	1195	1405	1526	1487
Gm43087	0	0	0	0	0	0
Gm43088	1839	2003	1353	1826	1841	1690
Gm15460	2427	2421	1904	2715	2602	2800
Gm25920	0	0	0	0	2	1
Gm43689	4	4	1	2	5	1
Lamtor3	2235	2168	1474	2315	2189	2195
Dapp1	605	625	458	597	636	588
Gm19708	0	0	0	0	0	0
Gm5105	97	66	63	59	52	66
1110002E22Rik	70	90	69	49	60	65
Mttp	1295	1269	1049	1353	1360	1335
Gm43691	3105	3224	2074	2789	2780	2542
Trmt10a	629	529	336	607	585	615
4930579F01Rik	0	0	0	2	0	0
0610031O16Rik	4	7	3	3	5	6
Adh7	884	832	572	683	847	734
Adh1	1664	1647	1133	1499	1685	1670
Gm16559	1291	1376	1049	1433	1431	1404
Adh6a	403	410	217	334	370	330
Adh6b	0	0	0	0	0	0
Gm23467	3095	2988	1897	3082	3075	3036
Adh6-ps1	0	3	0	3	0	6
Adh4	1179	1033	633	725	809	884
Adh5	5441	4878	2702	4129	5369	5719
Metap1	650	583	464	435	636	464
Gm43724	11	2	3	10	7	9
Gm43725	337	371	264	253	286	255
Eif4e	403	470	194	324	314	259
Mir1956	1317	1230	928	1141	1113	1289
Gm43726	2324	2321	1474	2073	2576	2332
Gm9415	4220	4675	3849	5664	4513	4876
Gm6057	515	556	325	377	438	382
Gm43723	626	613	409	351	365	430
4930425O10Rik	479	496	346	373	366	388
Tspan5	648	683	451	562	636	553
Gm16060	2694	2646	1633	2402	2332	2415
Rap1gds1	0	0	0	0	0	0
Gm43162	1	0	0	2	0	0
Gm4862	0	0	0	0	0	0
Stpg2	621	624	374	451	476	573
Gm43163	430	488	260	502	452	389
Gm24260	2337	2246	1704	2121	2089	1981
Gm2451	0	0	0	0	0	0
Gm32693	6	6	7	24	27	16
Gm43678	648	589	442	717	763	692
Mir7j	2243	2277	1642	1335	1340	1653
Gm4863	0	0	0	0	0	0
Gm19184	1014	1052	729	924	1046	991
Gm19080	1284	1167	891	1167	1192	1271
Gm31211	196	156	119	205	200	200
Gm43049	1634	1625	1102	1169	1449	1499
Gm6214	590	610	490	578	640	643
Gm43276	0	0	0	0	0	0
Gm32754	463	431	263	433	448	537
4930590L14Rik	381	345	239	322	394	397
Pdha2	1238	1250	796	1215	1193	1164
Gm15688	970	1026	646	885	940	868
Unc5c	4	4	2	0	2	12
Gm15689	23	20	15	64	22	43
Gm43826	1106	1115	790	1216	1260	1187
Bmpr1b	0	0	0	0	0	1
Gm6059	1172	1173	772	1105	1127	914
Pdlim5	847	860	547	895	722	753
Gbp5	111	130	62	111	127	81
Gbp7	0	0	0	0	0	0
Gm43802	0	5	0	0	0	2
Gbp3	746	666	416	714	750	720
Gbp2b	208	213	155	220	186	188
Gbp2	0	0	0	0	0	0
Mir6381	186	201	130	158	163	219
Gbp2-ps	815	823	574	750	760	724
Gm19166	11	14	17	44	32	28
Kyat3	4	3	0	3	17	13
Gm15540	476	578	462	562	588	512
Gtf2b	0	2	3	0	0	0
Gm24457	120	155	100	377	269	236
Pkn2	0	0	0	0	0	0
Gm25965	582	577	428	673	622	645
Gm43646	0	0	0	0	0	0
9530052C20Rik	171	186	182	374	232	562
Gm31306	2669	3019	2372	2588	2596	2797
Gm2574	455	383	215	420	424	437
4930519L02Rik	263	279	232	291	335	290
Gm43614	20	25	25	48	55	21
A830019L24Rik	8	24	26	55	60	41
Gm43613	0	0	0	0	0	1
Gm43612	25	21	17	31	34	26
1700001N15Rik	517	616	440	558	523	591
Gm43616	289	270	164	331	289	282
Gm33651	0	0	0	0	0	0
Gm42703	25	21	16	36	15	21
Gm38006	0	0	0	0	0	0
Gm42704	848	956	554	775	782	732
Gm6260	0	0	0	0	0	0
Gm24728	198	225	203	444	262	384
Gm42705	0	1	1	2	1	8
Gm42706	990	1013	740	905	900	1189
Gm2505	212	215	159	248	230	248
Gm42707	0	0	0	0	0	0
Gm42708	724	752	533	631	751	801
Gm42709	604	546	401	596	636	594
Lmo4	801	854	489	734	740	913
Gm43445	939	1017	770	668	802	991
Gm43446	127	123	57	123	122	101
Gm43447	1233	1279	900	1140	1241	1225
Gm5857	0	0	0	0	0	0
Hs2st1	133	138	140	134	103	126
Gm43707	795	915	641	799	741	754
Gm43560	216	266	197	111	181	226
Selenof	0	0	0	0	0	0
Gm24406	756	797	601	554	612	642
Rpl9-ps8	653	656	441	870	774	903
Sh3glb1	485	548	309	552	558	505
Gm9419	0	1	0	0	0	0
Clca3a1	0	0	0	0	0	0
Gm34866	0	0	0	0	0	0
Gm17743	3	9	6	15	14	3
Clca3a2	0	0	0	0	0	0
Gm43240	24	87	50	85	72	206
Clca3b	0	0	0	1	2	1
Gm16215	0	1	0	0	2	0
Clca4c-ps	272	130	44	1846	396	411
Clca4b	1	1	2	10	0	1
Gm16233	0	0	3	1	0	0
Clca4a	3	1	4	0	1	8
Gm43742	6	5	7	12	5	22
Clca1	335	390	232	161	100	190
Clca2	0	0	0	0	0	0
Odf2l	318	336	181	273	284	243
Col24a1	772	822	490	752	699	774
9530034A14Rik	201	211	174	227	217	235
D530037P16Rik	0	2	6	4	0	9
Znhit6	0	0	0	0	0	0
Cyr61	4657	4249	3145	1677	2410	3495
Gm17501	665	551	309	1508	893	857
Gm43408	690	681	452	628	619	674
Ddah1	888	1024	606	1088	1054	1059
Rpl36a-ps2	20	44	34	59	54	36
Bcl10	463	489	316	481	430	493
2410004B18Rik	427	444	258	407	467	381
Syde2	1730	1656	1028	1920	1876	1820
Gm43861	1598	1633	1058	1704	1705	1526
Wdr63	791	720	630	1001	766	1239
Gm25627	1838	1872	1156	1788	1874	1593
Mcoln3	1315	1368	1014	1636	1639	1617
Mcoln2	74	89	45	70	76	56
Lpar3	2094	1930	1570	1159	1218	1782
Gm43334	285	228	158	292	269	245
Gm10636	464	391	329	767	1041	1149
Gm22078	131	159	144	144	142	193
Gm22901	21	25	21	16	26	28
Ssx2ip	4	2	4	7	10	29
Ctbs	322	306	243	406	360	355
Spata1	756	868	537	1307	1307	1540
Gng5	831	791	528	825	874	1034
Rpf1	10	14	12	7	16	57
Gm36259	0	0	0	0	0	0
Uox	1087	1133	1017	1084	1158	1070
Dnase2b	263	262	205	293	320	351
Gm16325	9	6	5	14	15	12
4930503B20Rik	0	0	0	0	0	0
Samd13	1590	1412	1020	1258	1465	1473
Gm9480	614	551	463	645	685	644
Prkacb	376	362	281	301	382	520
Gm19104	560	537	398	527	461	439
Gm10288	49	54	44	72	68	53
Ttll7	0	0	0	0	0	0
Gm29771	465	377	316	436	483	495
Gm6074	392	251	186	313	158	172
Gm36831	237	304	170	231	271	261
Gm37803	1	5	1	0	4	12
Gm37041	0	0	0	0	0	0
Gm36888	2	0	0	0	0	0
Gm43574	216	195	143	190	207	150
Gm23131	2084	1894	1275	1745	1853	1747
Gm43576	1053	1217	908	1180	1117	1224
Gm38068	0	0	0	0	0	0
Gm43575	252	223	150	233	227	324
Adgrl2	3191	4163	3205	3671	3540	3936
Gm43573	555	577	278	474	467	520
Gm43572	2245	2286	1561	1640	1708	2074
Gm25127	0	2	0	0	0	0
Gm42647	0	0	0	0	0	5
Gm10287	274	298	199	317	318	349
Gm30382	1266	1312	968	1353	1365	1479
Gm42649	0	1	0	0	1	0
Gm26468	642	659	564	745	697	608
Gm31121	4823	4296	2577	4341	4315	3734
Rpsa-ps10	5	9	6	1	11	3
Gm6439	0	0	0	0	0	0
Gm43470	101	76	31	319	180	145
Mir3963	71	64	31	148	112	101
Gm43468	1487	1337	936	795	751	1237
Gm43469	1246	1242	913	1079	1118	1152
Gm43473	678	658	434	622	661	581
4930555A03Rik	0	0	0	0	0	0
Gm42949	0	5	4	1	3	0
Adgrl4	5	2	1	2	2	0
Gm24458	0	0	0	0	0	0
Ifi44	4601	4505	3070	2975	3663	5603
Ifi44l	408	348	232	387	380	324
Ptgfr	411	441	256	446	465	434
Gm43618	1336	1269	803	678	910	1059
Gm43617	1	1	2	1	1	2
Gm25056	1	2	1	3	0	0
Gm2939	0	0	0	0	0	0
Gm2860	10	18	8	39	12	14
Gm43619	656	647	480	629	666	642
Gm9682	1243	1180	761	1386	1243	871
Gipc2	1064	1203	869	1299	1049	1141
Gm43455	675	553	417	587	495	577
Gm16198	13	3	6	2	8	13
D630002J18Rik	0	0	0	0	0	0
Dnajb4	10	12	10	59	25	35
Fubp1	0	0	0	0	0	0
Nexn	1074	1082	771	1265	1196	1106
Gm43185	120	119	96	132	143	100
Miga1	1584	1642	1162	1545	1570	1476
Usp33	1164	1126	709	1155	1082	1078
Gm42967	1638	1598	1223	1406	1407	1394
Gm43859	1490	1369	857	1748	1741	1539
Gm43858	3	0	0	0	0	0
Gm43857	21	26	8	8	6	1
Zzz3	7732	7829	5257	7640	7436	7512
Ak5	92	61	58	96	64	109
AI115009	642	655	397	683	712	603
Pigk	0	0	0	0	0	0
Rpl29-ps1	2	0	0	24	11	10
St6galnac5	0	1	0	0	0	0
Gm16232	901	773	540	893	895	944
Gm16213	0	0	0	0	0	0
Gm16231	2379	2754	2299	2976	3035	2756
Gm42710	2792	2673	1638	2434	2558	2214
Gm43832	23	49	34	30	28	51
St6galnac3	0	0	0	0	0	0
1700012D16Rik	1599	1528	1098	1520	1348	1551
A530083M17Rik	372	304	279	397	392	376
Gm27405	6	12	7	7	7	6
1700015C17Rik	0	0	1	0	0	2
4930597L12Rik	385	442	254	432	475	396
Gm22136	512	529	369	538	513	532
Gm22206	2599	2713	2002	2884	2925	3054
Gm43833	119	103	65	183	108	134
Gm10042	0	0	0	0	0	4
5730460C07Rik	5	2	1	7	5	7
Gm25757	883	776	554	765	782	630
Asb17os	803	803	491	1170	968	916
Asb17	433	441	347	136	144	376
Msh4	0	0	0	0	0	0
Gm24395	2111	1882	1223	1480	1644	2194
Rabggtb	0	0	0	0	0	0
Snord45b	1526	1622	1359	1688	1573	1749
Gm24494	915	817	660	920	757	616
Snord45c	15	12	27	11	11	13
Gm43400	372	462	351	622	560	653
Acadm	907	931	602	903	1030	1157
Slc44a5	13	14	18	27	29	18
Gm3076	391	527	365	346	372	469
Gm42541	2157	2388	1679	2412	2320	2186
Gm42540	3260	3140	1909	3618	3595	3314
Lhx8	555	483	308	638	605	531
AI606473	0	0	0	0	2	0
Tyw3	483	496	341	555	702	600
Cryz	116	128	89	64	119	179
Gm38139	5	1	1	3	0	2
Erich3	686	656	386	653	625	665
Gm20389	7963	7851	4695	5949	7321	7416
Tnni3k	50	34	13	55	41	43
Gm37890	1797	1894	1256	1488	1413	1554
Fpgt	0	0	0	0	0	0
Gm26456	44	57	71	91	107	170
Lrriq3	1011	1084	753	917	987	988
Gm37482	1	1	1	13	7	4
Gm5285	205	178	143	154	161	181
Scp2-ps1	3	1	1	1	1	5
Gm37449	11	14	4	25	4	16
Gm37324	508	385	224	598	558	649
Gm23038	268	294	215	401	380	408
Gm37102	1	1	0	0	2	3
Gm37515	792	729	450	530	603	723
9330178D15Rik	649	813	544	754	733	706
Gm42947	54	55	36	119	64	77
Gm6510	23	12	20	27	30	19
Gm42886	2724	3101	2433	2511	2719	3191
4930570G19Rik	785	794	582	758	778	845
Negr1	4815	5314	3588	4676	5175	5011
Gm42946	2160	1967	1256	1817	1756	1829
Gm42942	319	369	271	349	381	355
Gm42943	3	17	11	11	13	9
Gm43528	6	3	9	7	3	8
Gm15578	364	370	248	416	374	302
Gm15577	129	135	116	342	223	248
Gm43527	0	2	2	0	0	3
Gm43526	1209	1139	931	971	894	1094
4930566N20Rik	9	5	4	6	7	10
Gm24373	657	840	659	734	874	1374
Gm23725	681	820	511	652	699	679
Gm22458	26	10	15	15	9	18
Gm23379	248	267	179	267	270	220
Gm5983	582	575	373	400	476	476
Gm43159	185	171	110	198	108	170
Zranb2	1480	1391	851	961	1150	1256
Mir186	854	750	659	1001	908	915
Ptger3	1429	1380	1028	1502	1380	1336
Gm33466	0	0	0	0	0	0
Gm5550	5	2	11	25	20	12
Gm6520	1	0	1	5	0	0
Cth	387	437	304	398	317	503
Gm43314	0	6	0	2	1	1
1810013D15Rik	3	2	0	1	0	0
Ankrd13c	621	602	434	565	518	498
Gm42611	11	11	22	27	25	47
Srsf11	2522	2630	1768	2176	2343	2731
Gm43362	0	0	0	0	0	0
Lrrc40	39749	35496	23153	36436	33547	31691
B230334C09Rik	167	175	118	170	136	164
Lrrc7	0	2	0	0	2	0
Gm42968	1091	1027	764	892	1062	901
Gm43485	65	85	61	19	25	92
Gm43486	0	0	0	0	0	0
Gm43487	113	133	48	58	79	100
Gm9423	2	5	3	0	0	7
Gm20752	0	0	0	0	0	0
Gm43655	139	113	78	481	192	204
Depdc1a	67	66	40	50	51	72
Rpe65	57	64	68	168	252	610
Wls	13	8	6	11	21	18
Gm43307	2	6	3	9	9	0
Gm23941	46	49	17	51	33	51
Gm27878	0	4	3	1	2	4
Vmn1r-ps2	22	27	22	32	25	71
Vmn1r-ps3	38	65	40	248	99	96
Vmn1r2	116	159	120	157	168	119
Vmn1r3	5	2	2	3	3	3
AI838599	217	235	159	225	245	241
Gm11783	247	248	100	1599	370	340
Gm11786	845	668	628	636	742	1108
Gm11784	0	0	0	0	0	0
Gm11785	0	0	0	0	0	0
Gm11787	0	0	0	0	0	0
Mir3471-2	0	0	0	0	0	0
Tmem68	200	217	108	162	185	138
Tgs1	27	34	39	38	54	43
Gm22541	23	22	26	19	20	15
2210414B05Rik	0	0	0	0	0	0
Lyn	0	0	0	0	0	0
Gm26857	0	0	0	0	0	0
Gm11805	113	114	98	123	86	116
Gm22781	0	0	0	1	0	3
9430025C20Rik	45	35	45	42	49	65
Rps20	0	0	0	0	0	0
Gm24016	0	0	0	0	0	0
Gm24125	0	0	0	0	2	0
Mos	1809	2038	1572	1998	2118	2441
Plag1	418	408	204	314	356	289
Chchd7	0	0	0	0	0	0
Gm11808	19	20	6	51	30	32
Rps10-ps3	1	0	2	4	0	0
Sdr16c5	13	19	24	11	13	32
Sdr16c6	3	4	17	10	5	2
Penk	42	33	32	39	96	66
A830012C17Rik	11	23	14	30	29	21
Gm11780	81	64	56	158	144	100
Gm26436	225	160	93	262	233	189
Impad1	2	2	13	0	0	0
Gm11779	0	0	0	0	0	0
Gm11782	106	99	95	137	158	135
Gm11781	0	0	2	0	0	0
4930423M02Rik	1185	1225	777	1084	1169	1161
Fam110b	0	0	0	2	0	0
Gm24337	99	129	115	224	183	221
Gm11796	37	59	22	60	60	89
Gm11797	1	0	0	0	0	0
Ubxn2b	116	97	57	157	126	94
Gm11798	25	39	10	66	52	32
Cyp7a1	1931	1867	1467	1587	1760	2046
4930430E12Rik	1	1	0	0	0	0
Sdcbp	1	1	4	1	0	2
Gm37689	52	62	27	25	32	56
Nsmaf	0	2	5	0	5	6
Gm11803	0	1	2	1	0	0
Gm11801	7	4	10	17	18	20
Gm22473	339	362	270	400	299	367
Tox	0	0	0	0	0	0
Gm11802	403	388	300	473	482	474
Gm11804	261	221	124	262	229	207
8430436N08Rik	0	0	0	0	0	0
Gm11795	777	824	537	645	682	656
Gm11794	31	18	13	26	27	12
Gm23860	3	6	5	24	3	0
Gm11800	818	688	550	1034	912	899
Car8	16	12	20	15	10	12
Gm11799	0	0	0	0	0	0
Gm25355	71	56	36	121	119	98
Gm37386	0	0	0	0	0	0
Gm11810	628	618	364	619	586	513
Rab2a	927	1153	808	1092	1039	1008
Gm11809	95	104	92	273	181	170
Chd7	3	11	1	0	10	13
Rps18-ps2	8	1	2	15	5	11
Gm23423	0	0	0	0	0	0
Gm26548	0	1	0	0	0	0
Clvs1	21	15	7	16	23	21
Gm11816	5081	5061	3474	4677	4371	4868
Gm11817	366	325	259	364	460	350
Asph	0	0	0	0	0	0
Gm25677	0	1	0	0	0	0
Gm24152	7	6	1	8	7	7
4930412C18Rik	287	268	238	177	177	185
Gdf6	28	27	45	18	23	32
4930448K20Rik	42	20	19	41	39	54
Gm11834	455	436	376	424	471	442
Gm11835	43	45	26	13	37	46
Gm11814	3	0	0	0	0	0
1700123O12Rik	0	0	0	0	0	0
Gm11815	463	495	332	372	418	444
Gm11813	139	98	101	106	126	107
Gm12920	22	24	9	19	15	16
Mir3471-1	2167	2302	1612	2072	2086	2126
Gm12918	0	0	0	4	8	1
Gm12919	2	3	7	0	0	1
n-TSaga9	0	0	0	0	0	0
2610301B20Rik	2	0	5	2	1	4
Rps11-ps3	1357	1445	1003	1362	1454	1402
Plekhf2	24	24	16	34	25	35
Ndufaf6	46	67	39	81	51	71
Gm11827	295	303	224	395	455	337
Gm11829	126	157	95	158	146	183
Mir684-2	13	8	8	52	39	37
Gm11830	618	625	440	445	553	498
Trp53inp1	67	162	116	246	141	359
Ccne2	0	0	0	0	0	0
Ints8	0	0	0	0	0	0
Dpy19l4	2065	1969	1423	1875	1972	2186
Gm22940	1	0	0	1	0	0
Gm26663	448	517	428	515	522	511
Esrp1	0	0	0	0	2	1
Gm11821	0	0	0	0	0	0
Gm11822	153	155	48	153	117	125
1110037F02Rik	0	0	0	0	1	0
Gm11831	4	8	7	2	2	3
Rad54b	34	29	20	96	63	48
Fsbp	0	0	0	0	0	0
Gm11832	0	0	0	0	0	0
Gm11833	0	0	0	0	0	0
Gem	273	299	211	335	301	322
Cdh17	0	0	0	0	0	0
Gm22477	10	14	7	13	17	12
Gm25002	0	0	0	0	0	0
Pdp1	0	0	0	0	0	0
1700123M08Rik	626	718	501	813	732	808
Gm10604	0	0	0	0	0	0
Gm26895	0	0	0	0	0	0
Gm11840	324	416	235	398	421	372
Gm11842	1387	1499	1321	1336	1382	1790
Tmem67	100	115	73	49	85	106
Rbm12b2	4	0	1	7	1	2
Gm11839	1	0	0	0	0	0
Gm11841	0	0	0	0	0	0
Gm11843	0	0	0	0	0	0
Rbm12b1	5	1	0	9	6	3
Fam92a	102	84	39	76	86	69
Gm11847	0	0	0	0	0	0
Gm11846	406	356	321	427	486	453
Gm37985	0	0	0	0	0	0
n-R5s182	0	1	0	0	0	0
Triqk	87	88	67	231	135	160
Gm11820	1	1	0	0	0	3
Gm26250	0	0	0	0	0	1
Gm11819	1951	2092	1307	1828	1754	1607
Gm11826	34	41	33	58	63	47
Gm11825	0	0	0	0	0	0
Gm23162	8	2	6	3	12	16
Runx1t1	265	307	288	268	177	308
Gm11823	4	13	5	8	8	14
Gm24068	0	0	0	0	0	0
Gm11824	0	0	0	0	0	1
1700120G11Rik	631	656	448	781	715	714
Gm24908	2	2	0	3	2	4
Gm11836	0	0	0	0	0	0
Slc26a7	452	394	383	461	537	451
Lrrc69	0	0	0	0	1	0
Gm11838	0	0	0	0	0	0
Otud6b	0	0	0	0	0	1
Tmem55a	1	6	2	7	6	6
Gm11837	0	0	0	0	0	0
Necab1	15575	12920	8145	12284	13568	11724
Gm11844	0	0	0	0	2	0
Gm11845	646	553	399	359	334	480
Tmem64	0	0	0	2	0	0
Gm24317	0	0	0	0	0	0
Gm11856	16	13	3	9	14	18
Gm11859	0	3	3	0	2	5
Gm11857	0	0	0	0	0	0
Gm11858	5	4	2	9	2	2
Gm11855	41	41	41	52	38	47
Gm24567	74	35	20	150	179	77
Calb1	2	1	1	2	8	1
Gm26148	10064	8867	5272	13996	15425	11557
Decr1	9	25	23	41	29	41
Mir6400	139	131	77	135	160	144
Nbn	3	0	0	5	3	1
Gm11869	0	0	0	0	0	0
Osgin2	2	3	6	4	1	15
Gm11870	0	0	1	1	8	1
Gm11874	2723	2518	1977	1710	1956	2556
Ripk2	0	0	0	0	0	0
Gm22690	41	58	42	59	58	66
A530072M11Rik	372	323	267	324	364	342
Gm11865	0	0	0	3	0	1
Gm37355	4	2	3	10	5	8
Gm11864	30	21	37	65	12	28
Gm11861	0	0	0	0	0	0
Gm24978	140	102	62	115	96	87
Gm11862	0	0	0	0	0	0
Gm23975	17	2	17	49	10	29
Gm11848	3	6	1	4	7	11
Gm11850	67	67	41	52	56	68
Gm11849	0	0	0	0	0	0
Gm23384	59	68	17	549	142	144
Gm11851	12	1	2	12	2	6
Mmp16	1	5	6	3	6	6
Gm11860	8	1	0	2	0	1
Gm11852	10	7	8	11	7	19
Gm11867	0	2	0	2	0	0
Gm11854	52	35	32	121	98	79
Gm11853	46	46	27	79	50	59
Gm25971	0	0	0	6	1	1
Gm24419	86	66	18	82	99	69
Gm11868	6	8	2	8	15	5
Cnbd1	2	0	0	0	0	1
Gm12392	0	0	0	0	0	0
Gm12393	5	4	1	4	1	3
Cngb3	2	4	0	4	6	3
Gm11877	0	0	0	1	1	0
Gm25655	0	0	0	0	0	0
Cpne3	133	123	82	198	219	180
Rmdn1	0	3	0	1	0	3
Gm12353	0	1	1	0	3	0
Wwp1	691	663	509	742	694	718
Gm12354	5	8	10	2	3	3
Slc7a13	0	0	0	0	0	0
Atp6v0d2	0	0	0	0	0	0
4930480G23Rik	517	447	387	376	445	560
Ttpa	365	370	281	442	316	362
4930598A11Rik	0	0	0	0	0	0
