AD_C1	AD_C2	AD_C3	ATG7_T1	ATG7_T2	ATG7_T3
Olfr1200	0	0	0	67	55	38
Olfr1201	0	0	1	0	0	0
Olfr1202	1703	1684	1613	1219	1324	890
Olfr1205	49	44	29	28	16	22
Olfr1204	3814	3804	3678	4295	4503	3069
Olfr1206	0	0	0	0	0	0
Olfr1208	1158	1249	1159	706	718	555
Olfr1209	0	0	0	0	0	3
Olfr1211	0	0	0	0	0	0
Olfr1212	0	0	0	4	7	0
Gm13762	1545	1494	1441	2812	2488	1661
Olfr1214	2	0	0	0	0	2
Olfr1215	11	17	15	19	15	10
Olfr1216	3	2	6	5	2	4
Olfr1217	3840	4097	4131	4085	4109	2908
Olfr1218	0	0	4	1	0	0
Olfr1219	1519	1552	1455	1094	1083	720
Olfr1220	0	0	0	12	23	2
Olfr1221	673	660	594	462	462	377
Olfr1222	690	679	690	408	439	314
Olfr1223	0	0	0	0	0	0
Olfr1224-ps1	0	0	0	1	1	0
Olfr1225	639	618	567	832	763	619
Gm13761	2618	2582	2551	3928	3826	2629
Olfr1226	0	0	0	0	0	0
RP23-82L23.15	0	0	0	0	0	0
RP23-82L23.14	275	272	289	228	237	163
RP23-82L23.12	1990	1982	1917	1362	1521	1086
RP23-82L23.13	508	446	456	1051	1195	661
Olfr1227-ps1	0	0	0	2	0	4
Olfr1228	627	711	639	504	467	269
Olfr1229	0	0	0	0	0	0
Olfr1230	0	0	0	37	26	35
Olfr1231	11261	11032	10932	6811	7414	5385
Olfr1232	2630	2693	2625	1547	1730	1227
Olfr1233	1287	1261	1236	1097	1042	875
Olfr1234	287	253	251	204	204	131
Olfr1235-ps1	0	2	2	5	1	3
Olfr1236-ps1	2	0	2	32	36	18
Olfr1238	1310	1438	1433	971	1084	773
Olfr1239	27463	30177	28007	9627	11281	8512
Olfr1240	615	584	516	371	384	355
Olfr1241	7269	7682	6897	5920	6496	4615
Olfr1242	0	1	4	0	1	2
Olfr1243	1244	1360	1380	1371	1524	1175
Olfr1244-ps1	2	0	0	0	0	0
Olfr1245	901	971	879	1102	1018	855
Olfr1246	1950	1901	1924	927	1026	769
Olfr1247	6	2	8	27	48	29
Olfr1248	343	339	309	361	384	148
Olfr1249	3108	3252	3305	2039	2486	1950
Olfr1250	208	226	230	205	239	161
Olfr1251	1426	1565	1393	1125	1119	787
Olfr1252	0	0	0	11	32	19
Olfr1253	0	0	0	23	29	29
Olfr1254	1	2	4	9	19	15
Olfr1255	1690	1579	1420	2975	2826	2192
Olfr1256	179	184	145	198	209	127
Olfr48	125	153	143	103	118	57
Olfr1257	1358	1322	1252	482	598	444
Olfr1258	6532	7093	6442	3056	3508	2603
Olfr1259	1535	1485	1496	923	1024	677
Olfr1260	0	0	0	0	0	0
Olfr1261	666	552	531	628	694	482
Olfr1262	181	177	176	221	208	131
Olfr1263	1697	1721	1616	1377	1589	1035
Olfr1264	1710	1871	1848	1517	1616	1054
Olfr1265	1549	1602	1384	1529	1714	1193
Olfr140	1322	1235	1361	789	875	567
Olfr1266-ps1	1896	1848	1733	2885	3261	1970
Olfr1269	466	464	440	335	378	192
Olfr1268-ps1	1174	1275	1236	665	727	552
Olfr1267-ps1	1804	1801	1571	741	854	666
Olfr32	1304	1478	1269	830	883	661
Olfr1270	0	1	2	2318	1966	1504
Gm4222	0	0	0	10543	7452	6623
Gm13768	822	945	815	621	640	387
Olfr1506	452	491	496	622	620	403
Gm18953	572	635	592	243	284	228
Olfr142	1	0	2	0	1	0
Olfr1271	0	0	1	0	0	0
Olfr1272	0	0	0	0	0	0
Olfr1273-ps	0	0	0	0	0	0
Gm13769	668	755	792	543	585	406
Gm13767	0	0	0	4	0	3
Olfr1274-ps	5	9	14	24	32	52
Ptprj	1	0	2	32	6	40
4933423P22Rik	0	0	0	6	16	23
Nup160	803	811	878	1100	1101	790
Fnbp4	0	0	0	13	21	23
Rpl30-ps3	4328	4404	4338	3544	3687	2845
Agbl2	0	0	0	2	4	3
Gm13772	1179	1197	1178	841	891	619
Mtch2	0	0	0	0	0	1
C1qtnf4	856	793	768	575	485	409
Ndufs3	6378	6918	6243	4410	4728	3684
Kbtbd4	0	0	0	0	0	0
Ptpmt1	1200	1139	1257	865	799	582
Gm17661	549	550	482	782	921	610
Celf1	470	456	432	1620	1494	865
Gm13777	533	531	533	626	709	427
Rapsn	1321	1368	1426	947	1095	716
Gm13778	461	471	463	235	258	198
Psmc3	472	580	515	508	467	307
Slc39a13	355	353	355	176	177	171
Spi1	0	0	0	0	0	0
Mybpc3	117	132	149	282	331	214
Madd	4774	5209	4347	3000	3317	2302
Nr1h3	260	281	233	2309	3319	3350
Gm13783	1298	1439	1368	712	880	654
Gm23390	0	0	0	6	4	3
Acp2	323	342	301	1829	1578	1047
Ddb2	529	415	474	533	574	319
A330069E16Rik	1823	2045	1996	1784	1879	1318
Gm17281	66	59	45	141	116	101
Pacsin3	15	17	5	7	20	18
Arfgap2	3615	3531	3122	4853	4768	2943
1110051M20Rik	0	0	0	9	18	8
Gm13787	133	127	115	188	179	65
Gm22071	2631	2505	2592	4624	4639	3037
Lrp4	1	0	0	0	0	0
Gm13770	0	0	0	0	0	0
Ckap5	3	7	5	275	280	159
Snord67	1578	1376	1526	1117	1063	716
F2	4466	4561	3362	6944	7284	5404
Gm13771	958	1049	1080	732	957	581
Zfp408	440	421	461	454	491	373
Arhgap1	0	0	0	0	0	0
Atg13	1549	1601	1503	1054	1206	777
Harbi1	0	0	0	0	0	0
Gm13776	477	396	340	1972	2028	1054
Ambra1	1365	1350	1220	1054	1037	781
Gm10805	1123	1119	1066	1535	1387	843
Chrm4	72	55	61	59	61	46
Mdk	1425	1605	1572	1414	1451	950
Dgkz	853	951	892	871	927	534
Mir6999	0	0	0	69	80	44
Gm9821	2884	3012	2842	2281	2330	1756
Creb3l1	43	42	39	52	31	16
Gm13780	0	0	0	1	0	0
2900072N19Rik	221	167	188	175	138	79
Phf21a	0	0	0	0	0	0
Mir1955	9	2	4	32	42	37
Gm13786	423	463	422	432	403	346
Gm13785	587	509	596	410	367	237
Large2	98	79	59	70	88	73
Pex16	1854	1836	1995	1042	1273	772
1700029I15Rik	244	201	241	2606	2403	1615
Mapk8ip1	1754	1644	1695	1342	1341	805
Mir7000	1	2	2	72	124	139
Cry2	757	776	841	288	312	166
D930015M05Rik	0	2	0	7	12	15
Slc35c1	869	933	823	415	495	301
Gm13814	0	0	0	0	0	0
Gm13817	0	0	0	286	448	319
Gm13815	1345	1490	1442	927	1136	719
Mir7221	5	1	6	0	2	0
Mir7222	229	196	181	148	146	101
Chst1	5881	5702	5755	2528	2899	1994
Gm13816	2	0	0	10951	8618	7304
Gm13791	475	482	455	433	456	284
Gm13792	353	273	293	283	246	123
Syt13	612	522	498	541	529	320
Prdm11	598	534	555	495	611	375
4631405J19Rik	185	145	187	217	219	104
Gm13802	1250	1071	1207	902	852	532
Trp53i11	6047	6025	6161	3131	3479	2509
Tspan18	592	517	547	470	474	315
Gm23380	280	212	178	144	149	123
Gm13807	4	5	2	64	39	23
Cd82	4	2	0	36	29	25
Mir7001	2	4	0	55	23	29
Gm10804	924	828	868	1093	1212	705
Gm10803	1	0	0	22	41	22
Alx4	245	217	233	369	357	213
Ext2	5382	5596	4904	6233	6400	4280
Gm13818	0	1	0	0	0	0
Accs	0	0	0	1356	1577	1147
Accsl	609	616	650	1178	1195	775
Gm1335	0	2	0	18	27	15
Gm13889	0	0	0	0	0	0
Gm27027	0	0	0	5	2	0
Alkbh3os1	3	0	2	4	6	9
Alkbh3	5122	5268	5279	3207	3612	2835
Hsd17b12	49587	53188	49656	17106	20568	16713
Mir670hg	1560	1520	1417	792	991	632
Gm23630	0	0	0	0	0	0
Mir129-2	10540	10685	10479	5413	6009	4234
Mir129b	405	358	398	295	311	164
Mir670	371	380	389	320	311	192
Ttc17	0	0	0	0	0	0
Itpa-ps1	2428	2460	2354	1138	1342	907
2810002D19Rik	0	0	0	190	165	112
Api5	0	0	0	0	0	0
Gm44461	400	361	413	332	267	270
Gm13788	0	0	0	472	371	253
Gm24318	0	0	2	0	0	0
Gm13793	0	0	0	0	0	0
Gm26396	1833	1790	1811	1366	1448	1192
Gm13794	0	1	3	1	0	1
Gm13798	0	1	0	0	0	0
Gm13797	179	225	176	343	276	202
Gm13799	1827	1840	2017	1193	1156	917
Gm37175	1153	930	1126	1836	1601	981
Gm13801	234	235	182	255	257	149
Lrrc4c	2	8	3	98	94	70
4930445B16Rik	0	0	0	0	1	2
Gm17075	339	315	340	267	308	188
Gm17076	272	283	277	235	225	137
Gm22957	1220	1167	1195	1068	1086	732
Gm22313	6257	6724	6419	5562	5565	4158
Gm23317	2550	2408	2331	3958	3795	2605
Gm44320	632	561	615	861	791	505
Gm13803	562	556	462	543	506	346
Gm13804	1103	994	1052	925	871	546
Gm13806	1394	1225	1330	750	866	606
Gm10801	924	871	903	828	797	602
Gm10800	0	0	0	11	24	21
Gm29235	0	0	0	186	269	181
Gm13809	724	643	647	666	719	525
Gm13808	4	1	0	14	1	2
Gm13811	0	0	0	0	0	0
Gm13813	3708	3709	3689	5738	5562	3658
Gm13812	48	43	31	81	72	51
Gm13810	6460	6691	6423	5914	6240	4359
B230118H07Rik	292	230	313	355	376	257
Gm20693	17	10	18	19	15	23
Rag2	1251	1216	1156	927	905	665
Rag1	346	270	268	267	287	189
Traf6	0	0	0	0	0	0
Prr5l	585	519	512	599	545	337
Gm13905	8	9	19	51	65	24
Commd9	457	490	420	330	350	273
Ldlrad3	549	619	523	955	912	657
Gm13919	284	292	265	556	663	438
Gm13920	0	0	0	0	0	0
Gm13921	3	0	0	0	0	0
Gm13866	0	0	0	0	0	0
Trim44	280	273	209	239	267	171
Gm13868	4135	4448	4367	3611	3794	2703
Fjx1	0	0	0	0	0	0
Pamr1	1047	1056	932	1173	1182	732
Slc1a2	5598	6282	5802	5229	5809	3951
Gm13872	650	717	664	1390	1334	896
Cd44	1603	1448	1593	1322	1386	981
Gm23731	1055	981	1102	901	949	713
Pdhx	14	15	25	34	11	20
Apip	10	11	19	2	6	0
Gm10038	992	969	965	1716	1645	1073
Gm13874	2511	2415	2487	2249	2402	1756
Gm13869	0	3	0	6	1	3
Gm13873	5577	5509	6046	3666	3875	2452
Ehf	2146	2312	2279	1403	1483	933
A930006I01Rik	0	0	1	7	7	5
Gm37220	0	0	0	61	21	24
BC016548	2	4	3	88	80	69
Elf5	1609	1735	1590	1207	1204	939
Cat	1	8	1	379	293	198
Gm13996	0	0	0	0	0	0
Abtb2	2009	2124	1915	1235	1357	878
Nat10	1591	1787	1669	922	961	701
Caprin1	1515	1451	1376	4720	4364	2500
4930547E08Rik	586	564	607	472	462	291
Gm13878	976	937	872	683	611	524
Gm13880	4256	4303	4078	2209	2398	1707
Gm13877	0	0	0	0	3	0
Gm13875	23	15	18	23	16	3
Gm22757	0	0	0	23	39	43
Gm13879	0	0	0	5	5	8
Gm22761	2921	2848	2927	3133	3064	2184
Gm13876	0	0	0	0	0	0
Gm13881	19	24	11	601	765	625
Lmo2	5	2	1	20	15	8
4931422A03Rik	0	0	0	9	15	11
Fbxo3	0	0	0	0	0	0
Gm24644	213	188	191	174	213	159
Gm10912	5	6	0	222	172	104
Gm10799	0	0	0	3	3	0
Cd59b	197	222	147	297	230	147
Cd59a	403	350	418	226	237	144
A930018P22Rik	4	15	7	8	4	0
D430041D05Rik	154	190	217	289	301	256
Gm22501	0	0	0	0	0	4
Gm13883	0	0	0	0	0	0
Gm25554	0	0	0	719	477	215
Gm13882	3	6	1	8	14	14
Hipk3	0	0	0	0	0	0
Mir1902	1799	1949	1892	2967	2926	1884
Gm13870	0	0	0	0	4	0
Gm13884	1507	1617	1467	1856	1806	1124
Platr14	1461	1441	1387	1532	1620	1178
Gm22439	808	837	883	643	759	441
Gm13885	432	446	374	252	230	140
Cstf3	1	1	2	58	63	89
Tcp11l1	0	0	0	0	0	0
Pin1rt1	59	48	93	89	109	95
Depdc7	4833	5394	4976	2939	3130	2208
Qser1	30	30	29	523	463	292
Gm13886	1320	1250	1226	1586	1590	1060
Prrg4	2092	1911	1899	1595	1648	1034
Ccdc73	994	1056	1052	776	776	513
Gm13887	0	0	0	0	0	0
Eif3m	0	0	0	7	11	2
Gm13888	435	443	490	853	868	477
Wt1os	8	8	3	3	12	10
Gm11060	0	1	0	3	3	2
Gm27715	657	686	659	486	536	280
Gm27538	1464	1238	1254	942	973	620
Gm27636	3547	3141	3450	2813	2719	1716
Gm27308	0	2	0	70	65	38
Wt1	0	0	0	0	0	0
Them7	4	2	6	156	138	110
Rcn1	763	786	809	1376	1476	1162
4930527A07Rik	0	0	0	0	0	0
Pax6os1	1293	1353	1210	1154	1166	705
Gm13890	434	362	448	488	474	360
Rpl10-ps1	35	25	17	64	67	59
Paupar	4696	4481	4639	8866	7675	4798
Pax6	0	0	0	140	79	95
Elp4	5208	5344	4364	6222	6228	4447
Gm13954	5756	5565	5662	9218	10137	7311
Immp1l	0	2	0	106	162	123
Dnajc24	913	873	931	536	561	377
Gm22002	4521	4624	4099	3623	3781	2590
n-R5s201	1154	1499	1314	800	893	679
Dcdc5	52	35	37	34	41	34
Gm13992	2570	2670	2378	1417	1597	1103
Gm29053	4210	4296	3816	2675	2746	2178
Gm14013	345	386	359	200	211	114
Gm14015	10	4	13	117	86	66
Gm14014	45	42	41	44	49	45
BB218582	3327	3167	3197	1486	1497	911
Mpped2	0	0	0	0	0	0
Gm22813	1468	1419	1349	1333	1350	1080
Gm22813.1	721	745	725	724	714	446
Gm13901	919	978	949	615	652	440
Gm13902	351	343	303	320	361	231
Arl14ep	4244	4410	4249	5360	5428	3787
Gm13900	686	588	584	759	669	490
Gm13904	563	494	569	406	478	286
Fshb	0	0	0	0	0	0
Gm24885	1206	1295	1138	1059	1020	742
Gm13903	1830	1623	1861	2807	2884	1624
Kcna4	1067	906	1026	601	536	371
Gm9864	0	0	0	0	0	0
Gm23439	33	15	40	37	25	13
Gm23749	1690	1583	1632	1008	1151	670
Gm13912	0	0	0	0	0	0
Gm13916	0	0	0	0	0	0
Gm13915	0	1	1	3	4	0
Gm13913	0	0	0	20	40	44
Gm13914	305	294	254	404	609	491
Rpl35a-ps4	0	0	0	0	0	0
Gm13910	2	1	0	9	9	16
Gm13923	15	12	7	39	51	31
Mettl15	22377	21352	23677	20752	22433	16131
Gm24115	132	105	116	130	161	82
Kif18a	6681	6535	6251	6626	6733	4442
Gm13924	2088	2114	2108	1951	1907	1289
Gm13925	0	0	0	5	20	4
Gm45346	5151	4919	5359	2504	2689	1778
Gm20638	19	19	15	27	27	20
Bdnf	491	479	483	422	454	326
Gm13932	4	5	0	1	8	0
Lin7c	862	946	788	892	835	570
Platr8	276	247	255	199	196	90
Lgr4	0	0	1	3	0	0
Ccdc34	320	315	259	294	378	242
Ccdc34os	1231	1171	1170	1591	1398	1000
Gm13936	0	0	0	0	0	0
Gm13937	0	0	0	18	12	27
Gm22997	0	0	0	36	50	36
Bbox1	536	508	474	799	778	544
Fibin	1089	1003	1022	5436	4995	3161
Gm13935	329	389	416	423	463	332
Gm10794	233	196	261	249	234	168
Slc5a12	3	8	8	256	265	102
Ano3	40	52	45	38	27	31
Muc15	0	1	0	43	83	100
Gm13942	1	0	0	10	3	0
Gm13941	695	644	550	691	632	369
Gm15130	575	635	465	529	525	337
4930430A15Rik	0	0	0	273	193	170
Gm13961	0	0	0	0	0	0
Olfr1275	398	432	468	544	507	357
Gm13962	0	3	1	0	0	2
Olfr1276	0	3	0	4	15	4
Olfr1277	2474	2419	2139	1514	1724	1187
Olfr1278	1838	1912	1870	1068	1321	1001
Olfr1279	124	98	98	45	63	31
Olfr1280	4	1	2	4	2	5
Gm44774	1254	1112	1166	893	980	610
Olfr1281	480	461	420	395	372	218
Olfr1282	2557	2783	2313	2239	2439	1809
Olfr1283	1941	1970	1907	1166	1260	939
Olfr1284	0	0	0	0	0	0
Olfr1285	0	0	0	0	0	0
Olfr1286	0	0	1	2	1	0
Olfr1287	0	0	0	0	0	0
Olfr1288	8304	8208	7095	4055	4808	3396
Olfr1289	0	1	0	2	3	4
Olfr1290	2662	2809	2914	2997	2965	1873
Olfr1291-ps1	2975	3134	3141	2209	2502	1732
Olfr1292-ps1	2	2	2	58	31	33
Olfr1293-ps	0	1	0	5	1	0
Gm44713	2086	2069	2007	987	1185	777
Olfr1294	2816	2960	2626	4668	3991	3077
Olfr1295	1612	1722	1720	1273	1286	875
Olfr1296-ps1	228	229	242	211	232	182
Olfr1297	384	356	337	358	301	234
Olfr1298	0	0	0	16	26	22
Olfr1299	111	127	122	95	113	70
Gm44840	710	706	597	762	808	500
Olfr1300-ps1	26	23	27	55	57	76
Gm13922	14	20	4	465	341	193
Gm13930	281	262	249	2865	2579	1590
Olfr1301	1726	1690	1473	3419	3204	2079
Olfr1302	569	474	449	533	674	451
Olfr1303	5063	5605	5331	3215	3363	2571
Olfr1304-ps1	0	5	5	4	2	0
Gm26421	1	0	0	0	0	0
Olfr268-ps1	685	750	790	304	312	268
Olfr1305	466	402	430	453	390	291
Olfr1306	36	48	44	23	46	18
Gm13928	0	1	1	0	1	0
Olfr1307	12779	13527	13407	6092	6675	4728
Olfr1308	0	0	0	328	469	441
Olfr1309	490	589	571	599	633	460
Gm13929	295	289	280	227	284	182
Olfr1310	1839	1775	1868	851	972	667
Olfr1311	3342	3218	2965	2016	2059	1262
Olfr1312	126	136	119	354	351	204
Olfr1313	2671	2782	2401	3406	3313	2269
Olfr1314	0	0	0	0	0	0
Olfr1315-ps1	1574	1483	1490	1000	1036	669
Olfr1316	1315	1503	1516	2131	2115	1363
Olfr1317	1176	1160	1053	1343	1506	1073
Olfr1318	61	91	59	382	444	367
Olfr1319-ps1	608	584	590	778	892	539
Lpcat4	1	1	2	17	9	26
Nutm1	0	0	0	1649	1152	1383
Nop10	16	13	9	13	23	18
Slc12a6	970	1142	1127	557	604	427
Gm21985	0	2	1	0	4	0
Emc4	4681	4843	5134	3014	3186	1941
Katnbl1	2920	2921	3073	5023	5457	3400
Gm13940	0	0	0	0	0	0
Emc7	23	25	21	6	4	0
n-R5s202	595	662	633	377	403	241
Chrm5	660	734	644	386	426	295
Aven	0	0	0	0	0	0
Gm22676	310	286	268	298	283	221
Gm44374	48	57	41	37	37	37
Ryr3	3158	3139	3138	1914	2086	1416
Tmco5b	922	866	734	700	754	556
Gm26505	193	238	235	150	152	97
Fmn1	299	279	297	275	300	124
Gm13967	493	567	649	340	337	160
Gm13963	3855	4408	4098	1459	1878	1602
Gm13965	102	69	72	140	179	129
Gm13966	1501	1478	1578	866	996	621
Gm44465	564	630	579	3211	3275	1832
Gm13964	110	152	134	105	112	74
4930533B01Rik	0	3	0	3	4	1
Grem1	437	505	363	535	530	365
Scg5	1034	935	1030	1036	1112	787
Arhgap11a	40360	39443	41561	34631	38685	27833
Gm21596	116	109	129	126	137	85
Gjd2	332	302	254	228	244	181
A530058N18Rik	0	0	0	0	0	0
A530058N18Rik.1	0	0	0	0	0	0
Actc1	5	7	2	13	6	7
C130080G10Rik	872	924	920	833	863	583
Aqr	1879	2105	1833	1714	1667	1229
Mir7002	1422	1417	1425	1592	1632	1226
Zfp770	2075	2078	1796	1547	1426	1031
Gm25103	0	0	0	99	80	55
Gm29234	5984	5878	5974	4288	4346	2984
Dph6	2907	2728	2860	1115	1358	1049
Gm13972	0	0	0	0	0	0
Gm13975	1069	1220	1195	886	1001	677
Gm13974	998	1000	1044	1098	1091	792
Gm28494	1685	1629	1667	1206	1256	1053
Gm28492	1104	1275	1147	793	792	580
Gm13973	194	193	177	566	507	325
Gm28493	44	47	35	78	68	50
4930528P14Rik	1214	1237	1230	864	876	678
Gm13976	768	773	855	718	894	654
3110099E03Rik	0	0	0	6	4	0
Gm13977	0	0	0	18	17	36
BC052040	825	809	684	608	552	502
Mir1951	163	162	154	407	281	308
Meis2	1	0	0	0	0	0
2700033N17Rik	3591	4061	3784	2544	2544	1730
G630016G05Rik	0	0	0	6	16	21
2810405F15Rik	883	991	881	647	710	421
Gm13991	1523	1839	1463	1911	1914	1300
Gm13990	817	840	878	496	449	329
Tmco5	372	391	399	265	288	224
D330050G23Rik	613	472	517	383	370	242
Gm24914	0	1	0	149	166	134
Gm25514	0	0	0	0	0	0
Gm29340	585	511	520	604	606	392
Gm13981	146	151	164	228	216	218
Spred1	140	101	141	113	107	66
Mir674	560	509	573	559	589	364
Rap1a-ps2	4993	4718	4998	3376	3521	2432
Gm25189	898	866	816	852	757	699
Fam98b	252	241	259	218	149	123
Rasgrp1	247	320	290	221	219	158
Gm13982	585	647	628	571	650	396
Gm28183	32	19	23	17	4	2
Gm13985	406	422	456	232	213	211
4930412B13Rik	0	0	0	4	0	3
Gm13986	3	9	7	6	11	8
Gm36979	522	474	519	453	431	259
Gm25308	697	633	645	489	469	364
Thbs1	825	785	767	969	910	590
Gm29233	24	6	15	416	381	312
Fsip1	0	0	0	0	0	4
Gm22800	491	510	540	465	447	274
Gm29232	19	16	13	106	74	74
A930104D05Rik	3	5	1	1	1	0
Gpr176	398	330	375	270	328	251
1700054M17Rik	337	283	389	338	305	229
Gm22651	311	255	279	992	989	624
Eif2ak4	6	0	0	12	17	14
Srp14	0	0	0	0	0	0
Gm13983	1	0	1	50	61	25
Bmf	242	167	155	218	209	155
Gm14016	5419	5633	5338	4836	5019	3311
Bub1b	0	0	0	1	0	2
Pak6	0	2	3	66	74	45
Ankrd63	0	0	0	0	0	0
Plcb2	0	0	0	0	1	0
Inafm2	0	0	0	34	95	44
A430105I19Rik	0	0	2	65	112	64
Phgr1	0	0	0	0	0	0
Disp2	0	0	0	0	0	0
Knstrn	405	438	345	640	582	444
Gm14091	0	0	0	1927	1377	1257
Ivd	1	12	1	42	38	13
Bahd1	0	0	3	15	5	2
Chst14	0	0	0	0	0	0
Gm14089	1391	1167	1207	1317	1141	764
Uqcrh-ps2	2511	2504	2444	1509	1526	1080
Ccdc32	987	818	900	769	743	548
Rpusd2	670	534	544	421	432	250
Knl1	960	892	876	865	871	612
Rad51	1185	1080	1199	1061	966	705
Rmdn3	283	281	278	273	235	162
Gchfr	585	608	556	660	670	426
Dnajc17	370	328	354	210	191	129
Gm14137	311	275	297	262	267	169
Gm14138	1848	1583	1629	1288	1364	942
Zfyve19	15459	16090	16488	16926	17216	12739
Ppp1r14d	0	0	0	8	13	18
Spint1	2689	2486	2287	1889	1951	1366
Rhov	1431	1506	1528	931	955	767
Gm14175	21	35	28	36	28	25
Vps18	0	0	0	428	357	400
Gm14207	329	368	356	167	167	73
Dll4	2	3	1	43	55	51
Chac1	63	120	60	75	107	90
Ino80	3765	4045	3984	3390	3488	2430
Gm14208	2148	1733	1974	6197	6717	4413
Exd1	4535	4524	4761	3656	4180	3302
Chp1	0	0	0	0	0	0
1700020I14Rik	2231	2067	2194	2958	2951	1659
Oip5	49	39	35	28	28	15
Nusap1	526	521	575	432	456	284
n-R5s204	0	0	0	0	2	0
Ndufaf1	542	611	600	465	446	315
H3f3c	1	0	0	21	34	19
Gm14383	0	0	0	8	11	5
Rtf1	0	0	1	0	0	0
Gm25857	1461	1400	1437	1232	1295	1006
Itpka	0	0	0	126	149	175
Ltk	0	0	0	0	3	0
Rpap1	2685	3101	2943	1544	1775	1333
Gm23814	1557	1764	1530	1138	1146	810
Tyro3	1839	1749	1751	901	942	647
Gm13998	1558	1465	1606	1397	1301	987
Mga	0	0	0	0	0	0
Mapkbp1	233	208	230	325	336	217
Mir7665	813	839	948	1032	999	631
Gm13999	410	337	397	963	894	771
Jmjd7	2456	2329	2092	3115	3015	1967
Gm28042	1728	1672	1693	1099	1222	778
Pla2g4b	4363	4294	4428	2014	2201	1704
Sptbn5	1423	1373	1275	1264	1228	960
Ehd4	0	0	0	28	38	27
Pla2g4e	73	66	45	73	76	53
Gm13997	0	0	0	1	3	0
Pla2g4d	278	318	304	632	546	378
Pla2g4f	1117	1090	1023	734	739	539
Vps39	0	0	0	0	0	0
Tmem87a	0	0	0	0	0	0
Ganc	0	0	0	0	0	0
Capn3	12	12	16	110	95	83
Zfp106	61	43	62	47	67	43
Gm26899	6	0	1	2	0	1
Snap23	442	441	441	308	273	145
Lrrc57	416	393	371	421	387	280
Haus2	0	0	0	0	0	0
Stard9	1169	1042	896	1992	1649	1089
n-R5s205	242	218	225	720	929	729
Cdan1	5	2	5	28	33	33
Ttbk2	498	505	492	275	302	194
AV039307	1208	1118	1162	1223	1315	897
Ubr1	322	212	280	322	347	213
Tmem62	13	15	18	57	57	42
Gm44325	552	585	565	342	330	230
Gm22865	108	84	81	475	373	234
Ccndbp1	0	1	6	4	1	1
Epb42	2063	1645	1805	1880	1920	1262
Tgm5	646	603	744	378	501	357
Gm14213	339	358	394	199	210	121
Tgm7	3140	3301	3280	2827	2867	2284
Lcmt2	46	60	103	96	92	85
Gm23858	741	639	677	1027	1058	637
Adal	1045	951	1046	463	440	397
Zscan29	292	219	232	193	202	113
Tubgcp4	25	25	19	20	36	12
Trp53bp1	1769	1876	1689	1484	1414	1023
Map1a	785	749	755	770	840	558
Gm14978	13	6	25	55	64	71
Ppip5k1	9496	10313	10518	2600	2837	2464
Ckmt1	0	0	1	0	0	0
Strc	0	0	0	0	0	0
Catsper2	0	0	0	0	0	0
Gm14001	0	0	0	0	1	3
Gm14000	608	588	518	1073	1086	763
Pdia3	140	159	145	226	220	163
Ell3	0	0	0	0	0	0
Serinc4	7687	7764	7439	8227	7936	5022
Serf2	1327	1383	1295	2361	2151	1523
Gm22953	132	151	184	93	104	35
Hypk	245	244	262	226	238	96
Mfap1b	8876	9268	8639	6270	6434	4333
Gm14017	0	0	0	7	3	6
Gm14018	3247	3540	3214	2926	3037	1900
Mfap1a	2182	2119	2101	2431	2423	1632
Wdr76	16	25	14	429	494	419
Frmd5	1308	1128	1197	577	590	397
Gm14021	680	654	709	427	467	331
Gm14020	2472	2601	2498	2323	2242	1585
Gm14019	17099	15961	14075	13640	14236	9166
Casc4	2	0	8	15	8	1
Gm23983	3	0	0	9	4	0
Mageb3	1833	2059	2261	882	869	548
Ctdspl2	0	0	0	0	0	0
Eif3j1	1318	1378	1321	1140	1421	1126
AL845457.1	0	0	0	93	99	135
Spg11	5	0	2	0	0	0
Patl2	18024	17973	18135	6870	7820	5685
B2m	221	293	206	86	81	101
Trim69	1141	1116	1075	1739	1530	1307
Terb2	82	74	90	58	57	31
Gm14050	0	0	0	0	0	0
Gm14058	0	0	0	1	0	2
Rps12-ps10	0	0	0	192	145	141
Sord	0	0	0	12	13	13
Duox2	249	283	239	111	130	123
Duoxa2	0	0	0	0	0	0
Duoxa1	63	63	61	473	691	597
Duox1	292	263	301	186	218	169
Shf	1248	1316	1404	728	793	710
Gm24409	25	26	25	80	90	65
Slc28a2	320	302	308	291	284	161
Gm14086	2433	2522	1941	3402	3030	2592
Bambi-ps1	317	405	328	265	308	215
Gm14085	2642	2579	2813	1364	1482	1171
Gatm	1185	1122	1099	699	774	528
Spata5l1	5	3	0	12	6	13
AA467197	2387	2550	2417	1624	1681	1173
Mir147	0	0	0	1	0	0
Slc30a4	4675	5121	4911	1924	2202	1649
4930417H01Rik	2383	2756	2376	2287	2157	1580
Bloc1s6os	9341	9886	9188	11655	11734	8128
Bloc1s6	909	1032	996	438	472	294
Sqrdl	0	0	0	0	0	0
Gm13988	1117	1075	916	459	497	336
Sema6d	1135	984	843	1817	1703	1006
4930517E11Rik	603	554	604	384	424	212
4930583P06Rik	928	1067	956	504	618	495
Gm13994	1432	1205	1287	570	618	392
Slc24a5	1703	1396	1533	1994	2195	1384
Myef2	0	0	0	0	0	0
Gm22352	1865	1854	1966	1105	1174	960
Gm14004	3578	3865	3577	2305	2264	1571
Ctxn2	284	211	263	218	233	172
