0	S0008_IN	S0008_RIP	S0009_IN	S0009_RIP	S0014_IN	S0014_RIP	S0017_IN	S0017_RIP	S0025_IN	S0025_RIP	S0026_IN	S0026_RIP	S0030_IN	S0030_RIP	S0042_IN	S0042_RIP	S0057_IN	S0057_RIP	S0085_IN	S0085_RIP	COV00075_IN	COV00075_RIP	COV00079_IN	COV00079_RIP	COV00084_IN	COV00084_RIP	COV00087_IN	COV00087_RIP	COV00093_IN	COV00093_RIP	COV00106_IN	COV00106_RIP	COV00397_IN	COV00397_RIP	COV00413_IN	COV00413_RIP	COV00417_IN	COV00417_RIP	COV00419_IN	COV00419_RIP	COV00422_IN	COV00422_RIP	COV00432_IN	COV00432_RIP
win.130	842	34	119	27	4800	952	599	158	45	80	384	223	167	309	87	602	90	29	3201	1724	1066	1152	5	45	399	1367	10	29	1303	899	2584	538	1043	1298	4442	1009	37	273	826	308	149	1106	4929	1004
win.131	412	34	32	26	999	104	597	158	35	80	85	222	92	309	87	602	88	30	683	1702	663	1127	3	45	300	1380	11	29	833	850	1602	618	800	1295	2982	1012	38	275	649	300	100	1103	3444	1085
win.132	414	35	32	31	980	105	603	158	35	80	84	222	90	305	87	623	89	30	671	1700	612	1126	3	45	289	1380	11	29	798	853	1535	621	789	1303	2916	1011	37	277	634	304	95	1107	3361	1088
win.133	408	35	35	31	1039	104	604	158	35	80	90	222	91	306	87	623	89	30	715	1711	653	1126	3	45	300	1382	8	29	851	855	1645	621	821	1306	2999	1021	37	277	651	300	104	1107	3469	1094
win.134	404	35	38	31	1107	103	611	158	36	80	99	223	91	306	91	624	102	31	719	1711	634	1125	3	45	300	1383	8	29	833	855	1609	554	821	1306	2989	1020	37	277	635	295	99	1107	3389	1076
win.135	408	35	41	31	1177	103	617	158	36	80	108	225	94	306	91	625	102	31	771	1720	626	1119	3	45	299	1387	11	29	863	870	1628	555	821	1309	3273	1024	37	283	647	299	102	1111	3433	1079
win.136	408	35	42	31	1212	104	621	158	36	80	107	223	98	306	95	629	104	31	821	1724	619	1125	3	45	303	1394	11	29	834	874	1623	555	837	1313	3633	1037	37	287	657	299	105	1113	3443	1091
win.137	408	35	43	31	1214	106	629	158	39	80	108	225	98	313	98	633	107	31	851	1730	627	1125	3	45	314	1394	11	29	870	874	1651	555	848	1314	3805	1041	37	287	669	300	109	1113	3439	1093
win.138	404	35	41	31	1253	107	629	158	40	80	99	226	98	314	98	634	107	31	848	1732	604	1135	3	46	305	1394	8	29	801	874	1568	582	849	1316	3870	1046	37	289	654	300	107	1122	3351	1094
win.139	409	35	44	31	1321	109	627	158	40	80	91	227	106	316	98	634	107	31	847	1734	605	1150	3	46	306	1399	8	29	788	885	1519	586	837	1321	3704	1045	38	293	647	300	108	1128	3369	1095
win.140	418	35	44	31	1445	109	639	158	39	80	96	225	105	699	105	632	107	31	933	1736	616	1168	3	46	308	1405	9	29	786	905	1505	586	831	1321	3507	1043	39	295	658	302	103	1130	3382	1095
win.141	436	35	46	31	1558	111	643	158	40	80	109	226	112	697	105	632	107	31	1330	1741	630	1171	3	45	318	1405	9	29	813	917	1546	586	841	1321	3712	1042	38	295	672	302	106	1130	3367	1095
win.142	459	35	51	31	1966	167	643	158	40	80	154	226	116	316	105	635	111	31	1649	1748	659	1181	4	47	316	1399	11	29	838	916	1617	614	855	1328	3794	1048	38	295	691	302	110	1132	3466	1095
win.143	508	35	66	31	2199	167	643	158	40	80	194	225	124	317	105	635	111	31	1485	1947	677	1210	4	47	330	1455	10	29	873	956	1738	619	883	1336	4084	1052	37	296	724	302	117	1165	3648	1097
win.144	486	35	71	31	2156	111	644	158	44	80	197	225	124	317	105	637	111	31	1504	1951	688	1254	4	47	335	1455	10	29	908	946	1831	619	891	1338	4291	1056	36	296	748	302	124	1173	3706	1097
win.145	446	35	56	31	1647	110	644	158	44	80	151	227	113	317	105	639	111	31	1244	1942	678	1276	4	47	343	1425	8	29	920	956	1806	591	901	1346	4245	1053	38	296	728	302	122	1169	3668	1097
win.146	589	35	80	31	2923	168	646	158	45	80	255	227	129	698	107	640	111	31	2309	1991	753	1353	5	47	359	1455	10	29	1057	973	2090	618	951	1362	4662	1066	38	296	770	302	142	1171	4017	1099
win.147	617	35	80	31	2935	167	665	158	46	80	269	227	129	700	109	640	111	31	2704	2031	801	1385	6	47	383	1455	10	29	1127	986	2253	618	992	1348	5122	1079	38	296	854	306	153	1175	4234	1100
win.148	533	35	58	31	2115	111	665	158	45	80	194	227	117	324	109	636	111	31	1921	1845	809	1326	5	48	400	1400	10	29	1093	944	2290	585	981	1356	5398	1078	36	295	887	310	148	1151	4397	1112
win.149	512	35	56	31	2217	111	665	158	43	80	219	228	128	324	109	636	111	31	1670	1827	835	1291	5	48	406	1400	9	29	1157	948	2311	586	1038	1348	5976	1071	42	295	968	311	153	1151	4617	1129
win.150	592	35	62	31	2214	113	670	158	43	80	223	228	120	322	109	638	111	31	1601	1790	841	1258	5	48	401	1409	9	29	1154	935	2251	588	1010	1349	5736	1068	42	297	911	308	149	1148	4589	1116
win.151	572	35	55	31	2132	114	670	158	39	80	208	230	113	322	109	641	111	31	1763	1799	801	1227	4	47	363	1411	9	29	1139	950	2222	589	1013	1335	5680	1070	42	297	919	305	145	1142	4477	1116
win.152	607	35	57	31	2344	113	673	158	43	80	219	230	119	322	109	641	111	31	1940	1798	764	1199	3	47	369	1415	8	29	1081	928	2040	664	959	1345	5162	1072	39	297	846	303	135	1140	4263	1103
win.153	614	35	53	31	2364	112	673	158	45	80	216	232	119	322	113	641	111	32	1891	1791	785	1192	3	47	375	1415	9	29	1091	936	2033	664	979	1348	5299	1076	39	297	851	311	138	1150	4155	1109
win.154	608	35	49	31	2152	112	678	158	44	82	207	234	125	333	113	642	111	32	1376	1793	785	1205	3	55	383	1430	9	29	1065	927	2042	741	980	1385	5320	1102	38	301	856	315	141	1159	4115	1111
win.155	477	35	53	31	1983	113	686	158	41	86	186	231	126	335	113	642	111	31	1517	1803	769	1213	3	57	331	1432	10	29	1010	923	1985	669	1063	1382	5425	1104	39	302	879	317	133	1172	4126	1115
win.156	545	35	56	31	2233	114	686	158	39	87	209	230	133	335	113	643	111	31	1642	1810	785	1202	3	57	346	1432	9	29	1067	923	2084	669	1091	1389	5698	1092	40	302	916	310	135	1173	4242	1115
win.157	585	35	58	31	2496	116	684	158	41	87	220	233	132	335	113	645	111	31	1875	1816	826	1229	3	57	353	1434	11	29	1121	929	2193	594	1200	1399	6323	1099	42	302	997	310	134	1175	4414	1117
win.158	585	35	71	31	2703	115	684	158	42	87	253	233	141	335	113	645	113	31	1957	1811	875	1260	3	57	367	1433	15	29	1142	929	2243	595	1152	1399	6470	1099	41	302	980	321	148	1176	4440	1117
win.159	570	35	67	31	2365	114	684	158	44	87	214	235	137	338	113	643	113	31	1756	1813	832	1262	3	57	358	1433	15	29	1045	932	2146	595	1101	1392	5823	1099	40	302	919	321	141	1176	4256	1119
win.160	1060	369	91	358	3315	139	1521	186	68	738	237	351	181	412	210	1310	220	90	2007	1931	976	1447	3	69	498	1778	15	33	1172	1194	2335	665	1305	1645	5472	1312	43	356	913	376	152	1369	4751	1580
win.161	1216	369	100	358	4162	141	1533	186	70	739	314	351	204	411	210	1310	220	90	2580	2456	1106	1551	4	69	532	1781	15	33	1381	1218	2700	666	1447	1650	6284	1315	44	358	1053	376	176	1378	5410	1783
win.162	1185	369	102	358	4187	149	1533	186	67	739	324	355	196	587	210	1311	221	90	2389	2460	1110	1659	4	69	545	1781	16	33	1396	1224	2781	666	1468	1651	6123	1317	44	358	1071	376	179	1401	5488	1855
win.163	1162	369	100	360	3936	149	1537	186	62	739	316	357	188	589	210	1311	221	90	2344	2174	1121	1693	5	69	559	1731	16	33	1449	1222	2982	666	1475	1654	6427	1317	46	360	1140	376	191	1466	5570	1858
win.164	1154	369	106	360	3730	150	1535	186	61	739	312	438	191	413	210	1314	221	90	2126	2954	1072	1782	4	69	565	1731	18	33	1343	1259	2841	681	1384	1674	5518	1324	45	360	1043	376	183	1488	5067	1707
win.165	1159	369	101	360	3710	151	1537	186	61	739	307	490	194	591	210	1314	221	92	2090	3260	1107	1820	4	69	566	1787	19	35	1379	1283	2869	687	1390	1674	5608	1343	45	360	1064	402	184	1518	5204	1883
win.166	1094	369	85	359	3061	153	1529	186	61	739	262	470	176	590	210	1314	225	92	1763	3262	1068	1778	3	69	536	1788	20	35	1222	1280	2461	692	1271	1646	4646	1345	43	360	905	402	166	1528	4792	1842
win.167	968	369	71	359	2246	152	1524	186	61	739	178	437	152	412	210	1314	225	92	1285	2746	985	1601	3	69	509	1788	19	35	1147	1256	2240	688	1216	1658	4964	1349	43	360	864	398	158	1460	4583	1841
win.168	951	369	71	360	2174	154	1537	186	61	739	177	389	155	413	210	1321	227	92	1300	2747	966	1573	3	69	498	1744	17	35	1121	1259	2164	688	1192	1651	5001	1359	43	368	847	391	154	1426	4588	1603
win.169	948	369	78	360	2322	161	1537	186	61	739	223	356	159	414	210	1323	227	92	1402	2599	1020	1405	3	70	515	1744	15	37	1255	1260	2309	684	1283	1642	5958	1359	43	368	948	407	159	1415	5033	1603
win.170	945	369	75	359	2285	160	1531	186	61	739	207	357	160	413	210	1321	227	92	1343	2431	1001	1415	4	70	502	1749	18	37	1198	1244	2226	749	1271	1629	5577	1358	43	368	915	409	157	1417	4868	1603
win.171	968	368	77	359	2314	161	1537	186	61	739	209	481	161	415	210	1321	227	92	1331	2430	1013	1431	5	70	507	1749	20	37	1215	1250	2300	748	1292	1630	5422	1356	43	368	909	387	160	1397	4798	1603
win.172	970	368	76	359	2473	158	1540	186	63	819	214	805	168	415	210	1321	227	92	1441	3929	1005	1434	5	72	508	1749	22	35	1266	1278	2268	697	1287	1638	5232	1360	45	368	927	394	161	1397	4676	1605
win.173	985	368	73	359	2624	163	1548	186	64	899	238	679	175	417	211	1321	227	92	1562	4058	1036	1455	4	72	513	1755	23	37	1330	1285	2326	765	1317	1638	5445	1369	45	368	994	394	163	1398	4887	1607
win.174	994	368	66	358	2906	165	1542	186	65	896	226	807	184	417	211	1351	227	92	1620	5003	1040	1456	5	72	507	1755	21	37	1302	1253	2359	804	1315	1638	5568	1374	44	368	1019	402	168	1400	4961	1609
win.175	1026	371	75	358	3017	166	1538	186	65	821	243	809	185	416	211	1351	227	92	1696	4069	1022	1463	4	72	509	1755	19	37	1319	1267	2439	806	1346	1645	5624	1376	45	368	1035	395	163	1404	5141	1626
win.176	1017	371	82	359	3198	167	1536	186	68	740	230	808	187	416	211	1351	227	93	1737	4073	1061	1482	4	72	528	1755	18	35	1385	1294	2506	740	1359	1646	6074	1385	45	368	1063	394	169	1404	5330	1631
win.177	969	371	68	359	2911	167	1532	186	69	740	194	353	172	417	215	1351	227	93	1505	2439	970	1453	5	72	524	1767	18	35	1253	1302	2311	727	1249	1651	5311	1381	43	368	935	385	151	1420	4935	1644
win.178	1020	371	74	359	3207	165	1534	186	73	741	217	352	175	474	215	1353	227	93	1721	2445	1009	1470	6	72	526	1772	23	35	1276	1305	2453	727	1257	1657	5553	1392	45	368	954	386	157	1450	4943	1647
win.179	1028	371	70	359	2998	165	1535	186	74	741	192	477	173	474	217	1353	228	93	1704	2449	931	1490	4	72	503	1775	22	35	1160	1294	2211	702	1223	1656	4768	1382	45	368	833	386	151	1503	4496	1636
win.180	1092	371	75	359	3377	164	1537	186	74	741	250	659	181	474	217	1353	228	93	1918	4083	980	1568	4	72	521	1775	22	36	1261	1299	2404	702	1313	1674	5929	1396	46	368	942	386	166	1526	4815	1662
win.181	1086	371	75	359	3502	165	1537	186	75	741	288	708	186	459	217	1353	228	93	1972	5348	1019	1557	4	72	544	1776	26	36	1361	1336	2620	721	1373	1687	6941	1397	46	370	1064	387	178	1472	5124	1662
win.182	1180	371	99	359	4175	166	1540	186	77	741	356	879	194	501	218	1361	228	93	2456	4519	1123	1639	5	72	577	1783	31	37	1526	1361	3061	761	1475	1694	8129	1406	46	370	1234	387	203	1541	5540	1690
win.183	1162	371	91	359	3586	172	1542	186	77	742	283	755	191	517	218	1363	229	93	2099	4105	1111	1580	6	72	553	1786	32	40	1481	1340	2915	829	1493	1686	8374	1408	46	372	1219	389	197	1552	5622	1675
win.184	1206	371	98	360	4428	172	1543	186	80	742	358	844	205	516	218	1363	229	93	2704	5503	1240	1679	6	72	594	1788	28	40	1672	1366	3307	810	1604	1697	9871	1398	48	372	1314	474	209	1544	6173	1675
win.185	1077	371	87	360	3676	172	1545	186	75	742	313	492	192	415	218	1364	229	93	2088	5599	1166	1604	6	72	575	1794	23	38	1541	1337	3048	753	1587	1686	9153	1389	50	372	1186	474	186	1441	5900	1649
win.186	1055	371	81	360	3628	171	1547	186	74	742	323	495	187	416	218	1364	229	93	2111	4376	1072	1530	5	72	570	1798	25	39	1452	1304	2865	714	1519	1670	7989	1388	49	372	1117	474	170	1439	5486	1649
win.187	947	372	88	360	2810	175	1550	186	71	742	268	372	183	416	218	1364	229	93	1682	2962	1143	1505	8	72	581	1799	31	42	1542	1292	3071	809	1563	1674	8587	1398	50	372	1118	474	189	1448	5583	1649
win.188	938	372	84	360	2674	175	1565	186	68	742	237	376	174	416	218	1364	229	93	1528	2962	1080	1484	6	72	564	1799	26	40	1434	1299	2865	802	1459	1676	7630	1398	50	372	1019	475	181	1448	5272	1652
win.189	959	370	80	360	2738	175	1562	186	67	742	247	363	175	416	218	1364	229	93	1591	2966	1077	1465	6	72	555	1801	26	39	1397	1296	2804	800	1431	1674	7423	1406	49	372	1018	478	179	1450	5237	1657
win.190	948	370	66	360	2105	175	1547	186	66	742	158	358	162	413	219	1364	229	93	1159	2469	830	1406	3	72	482	1803	18	36	965	1254	1916	709	1182	1673	3984	1395	45	372	790	477	132	1449	4164	1660
win.191	984	370	69	361	2183	174	1547	186	66	742	164	358	162	412	219	1364	229	93	1208	2466	848	1406	3	72	488	1803	19	36	1002	1254	1984	709	1195	1676	3956	1399	45	372	792	477	148	1451	4213	1662
win.192	976	370	76	361	2029	175	1562	186	65	742	137	359	160	414	219	1364	229	93	1096	2469	845	1414	3	72	496	1803	19	36	966	1257	1872	710	1146	1686	3498	1401	45	372	720	478	142	1453	4021	1664
win.193	976	370	79	361	2255	176	1562	186	70	742	162	361	161	415	220	1364	229	93	1268	2468	879	1433	3	72	506	1815	21	36	1069	1276	2017	712	1163	1696	3521	1404	45	372	725	478	148	1473	4189	1666
win.194	1050	370	75	360	2689	175	1577	186	72	744	217	362	171	414	220	1364	231	93	1491	2691	931	1491	3	72	513	1817	22	36	1198	1283	2253	713	1218	1688	3614	1407	47	377	766	478	145	1475	4400	1670
win.195	1057	370	83	360	3061	176	1570	186	74	779	244	397	175	418	220	1373	232	93	1665	4016	949	1571	3	72	513	1817	20	36	1241	1292	2351	714	1250	1697	3646	1407	47	377	784	475	156	1476	4541	1669
win.196	1110	370	102	360	3765	178	1584	186	77	779	318	465	183	417	220	1373	232	93	2220	5208	1028	1663	4	72	542	1824	22	36	1440	1301	2760	713	1329	1748	3988	1416	48	377	879	490	179	1481	4991	1675
win.197	1041	370	106	360	3655	1927	1584	186	78	789	285	464	181	418	220	1375	233	93	2170	5154	1048	1723	5	72	546	1824	21	37	1390	1378	2644	824	1313	1779	4148	1423	48	379	901	491	174	1567	4908	1709
win.198	1155	371	120	360	4677	1925	1590	186	79	752	408	465	200	845	226	1377	232	93	2802	7266	1179	2004	4	72	595	1833	23	39	1656	1456	3063	824	1418	1810	4611	1429	48	379	1001	492	190	1744	5502	1839
win.199	1155	371	103	360	4310	1096	1590	186	76	752	361	430	195	847	227	1377	232	93	2642	7238	1146	2388	6	72	572	1879	20	39	1479	1521	2675	871	1372	1812	4580	1455	46	382	971	496	172	1866	5209	1977
win.200	1157	370	95	361	4289	1101	1587	186	77	752	360	799	196	805	227	1377	232	93	2660	7839	1106	2271	5	72	562	1891	21	38	1458	1502	2662	762	1381	1818	4539	1454	46	383	946	498	170	1782	4991	1911
win.201	1046	370	80	362	3392	2058	1581	186	75	752	238	1360	171	969	227	1377	232	93	1998	8077	990	2224	3	72	553	1887	17	39	1244	1565	2327	916	1291	1823	4219	1451	45	385	859	518	149	1813	4652	1901
win.202	1147	1093	88	362	4023	4730	1581	186	76	752	323	1374	183	1118	227	1377	232	93	2372	12250	1107	2777	3	74	577	1897	18	39	1417	1739	2538	1156	1354	1869	4774	1460	45	387	917	522	155	2009	5046	1876
win.203	1257	1095	93	422	4394	5656	1588	186	77	752	353	1824	186	1335	227	1378	232	93	2639	15371	1116	3051	3	74	574	1897	19	39	1429	1712	2491	1167	1335	1890	4868	1490	45	387	895	520	150	2117	5018	1855
win.204	1239	1096	91	422	4064	1102	1591	186	76	752	313	1883	182	1130	227	1378	232	93	2415	17381	1062	3122	3	74	562	1906	20	36	1350	1668	2464	1100	1356	1874	5453	1499	46	389	941	510	150	2409	4845	2011
win.205	1288	371	99	423	4757	2057	1596	186	79	752	386	3926	192	1887	229	1379	232	93	2989	17996	1087	3378	3	72	558	1922	21	39	1354	1758	2561	955	1341	1879	5465	1505	46	389	969	536	155	2604	4846	2267
win.206	1169	372	98	362	4253	1136	1588	186	81	752	420	3961	182	1937	229	1380	232	93	2658	18534	1040	3268	3	72	573	1922	22	39	1312	1939	2542	1155	1362	1970	5213	1502	45	389	967	561	148	2695	4921	2553
win.207	1374	1099	120	424	5350	3562	1592	186	86	752	545	4935	196	2374	229	1380	232	97	3281	28583	1203	4556	3	74	590	1926	23	42	1606	2337	3031	1352	1443	2101	5494	1545	47	387	1024	577	183	3407	5514	2839
win.208	1348	1098	106	423	4917	2603	1587	186	79	752	462	3522	197	1499	229	1380	232	97	2766	24989	1226	4339	5	74	598	1926	22	41	1662	2247	3140	1366	1463	2036	5498	1548	47	387	1018	567	190	3278	5613	2517
win.209	1247	370	121	421	5109	2587	1587	186	80	752	545	4782	205	2038	229	1380	233	97	2932	19160	1169	3511	5	72	594	1908	20	41	1668	1911	3103	1095	1414	1941	4944	1511	46	389	1013	506	181	2427	5411	2165
win.210	1223	370	118	361	4959	746	1585	186	83	752	529	5013	202	2047	229	1380	233	97	2980	17117	1190	3130	7	72	613	1904	21	38	1713	1792	3222	1071	1415	1956	4527	1512	46	389	1028	554	195	2339	5522	2192
win.211	1198	370	114	361	4788	748	1580	186	82	752	490	4915	201	2191	229	1380	233	97	2782	16018	1236	3071	6	72	617	1905	21	36	1710	1820	3172	914	1453	2022	4624	1530	47	388	1008	588	193	2313	5603	2186
win.212	1135	370	99	361	4198	179	1580	186	82	752	385	2785	194	1299	229	1379	233	97	2428	10344	1247	2775	6	72	643	1903	19	37	1752	1733	3208	899	1501	1992	4873	1549	48	387	1053	598	201	2088	5801	2023
win.213	1054	370	86	361	3258	178	1580	186	76	752	239	1206	183	768	229	1379	233	97	1830	4784	1060	1867	4	72	582	1914	18	37	1444	1479	2647	920	1387	1820	4460	1515	48	387	938	503	173	1546	5044	1756
win.214	1057	371	95	361	3485	179	1580	186	70	752	275	970	181	763	229	1379	232	97	1981	4448	1178	1838	5	73	604	1916	20	37	1503	1453	2754	914	1409	1823	4870	1509	50	387	980	505	175	1533	5332	1755
win.215	1030	371	92	361	3044	177	1581	186	67	752	271	458	184	424	228	1379	232	97	1756	2791	1196	1694	7	73	594	1918	22	37	1498	1391	2743	852	1408	1765	5087	1500	50	387	1010	494	176	1502	5251	1739
win.216	1012	371	91	362	2947	180	1585	186	67	752	278	374	180	424	228	1379	232	97	1619	2732	1206	1678	6	72	600	1918	24	37	1483	1365	2787	745	1432	1769	5490	1504	49	387	1050	498	178	1502	5297	1739
win.217	987	371	89	362	2750	180	1588	186	68	752	251	378	181	424	228	1379	232	97	1548	2732	1091	1553	7	73	588	1918	25	36	1406	1350	2707	725	1428	1761	5572	1514	47	387	1057	497	171	1503	5175	1742
win.218	994	371	84	362	2624	181	1588	186	68	752	222	380	170	426	228	1379	232	97	1530	3461	1018	1586	5	73	571	1933	23	36	1321	1348	2513	759	1383	1766	5164	1519	47	387	1008	498	164	1505	4934	1743
win.219	1010	371	87	362	2957	180	1589	186	71	753	283	450	185	426	228	1379	232	97	1820	3470	1118	1618	6	73	600	1951	24	36	1434	1375	2707	914	1438	1778	5599	1524	49	387	1072	497	175	1513	5249	1746
win.220	990	371	82	363	2657	179	1591	186	71	753	247	454	176	427	228	1379	232	97	1589	4627	1063	1662	5	72	555	1951	23	36	1272	1375	2466	914	1369	1780	5085	1524	48	387	984	497	172	1547	4797	1758
win.221	1027	371	91	363	2815	180	1592	186	71	752	253	547	182	476	228	1379	232	97	1724	3897	1087	1648	5	72	564	1958	25	36	1279	1373	2484	861	1383	1795	5121	1523	46	387	998	499	171	1553	4820	1759
win.222	1030	371	91	361	3122	180	1589	186	74	752	255	475	176	526	228	1379	232	97	1798	3941	1049	1675	5	73	574	1970	23	36	1319	1435	2433	860	1383	1793	5026	1527	47	387	997	503	176	1544	4892	1765
win.223	1050	371	444	360	3873	185	1595	186	78	752	329	382	184	477	228	1379	232	97	2132	5370	1118	1785	6	73	604	1970	25	36	1579	1481	2798	952	1609	1806	6694	1530	47	389	1249	522	185	1616	5500	1800
win.224	1061	371	446	360	3904	184	1598	186	80	752	323	383	185	864	228	1379	232	97	2155	4776	1185	1919	6	73	604	1970	23	37	1684	1560	2919	950	1730	1829	7543	1537	47	389	1329	527	191	1628	5811	1807
win.225	1140	371	476	360	5371	187	1613	189	97	752	498	690	222	815	228	1380	232	97	3140	10245	1383	2331	7	73	659	1980	25	38	2087	1746	3636	809	2073	1867	9471	1567	47	389	1648	557	220	1715	7007	1828
win.226	1148	371	467	361	5166	188	1623	189	96	752	479	1229	219	429	228	1380	235	99	2979	10583	1304	2367	5	73	630	2004	25	37	1869	1748	3313	794	1806	1853	7787	1580	47	393	1400	537	214	1732	6546	1822
win.227	1169	371	465	361	4891	188	1615	189	91	752	470	1160	212	487	228	1380	235	99	2832	7964	1279	2300	5	72	623	2006	26	37	1849	1686	3291	831	1807	1834	7973	1577	47	393	1391	542	206	1732	6412	1832
win.228	1194	371	104	361	4641	194	1632	189	96	753	405	1627	198	939	228	1380	235	99	2635	9768	1152	2723	3	72	579	2044	24	38	1569	1833	2712	849	1442	1840	5237	1546	46	393	993	529	181	1856	5503	1856
win.229	1172	371	108	359	4627	198	1630	189	96	753	385	1526	201	882	228	1380	235	99	2643	9356	1158	2572	3	72	578	2020	22	40	1581	1740	2630	802	1424	1837	5225	1547	46	393	1004	530	180	1861	5474	1855
win.230	1208	371	116	360	4634	198	1630	189	96	753	413	1426	206	886	228	1380	235	99	2718	9653	1157	2505	3	72	603	2026	23	40	1620	1741	2667	803	1406	1829	4832	1554	46	393	1003	528	182	1874	5463	1841
win.231	1062	371	86	360	2710	197	1599	189	80	753	243	769	182	435	228	1384	233	99	1467	5071	961	1691	3	73	570	2004	20	36	1244	1402	2262	748	1358	1801	4875	1567	45	393	977	539	154	1729	4759	1781
win.232	1067	371	86	360	2717	195	1603	189	80	753	243	1029	180	437	228	1386	233	100	1546	4913	938	1714	3	73	567	2006	20	36	1200	1413	2247	786	1361	1804	4989	1566	45	397	977	538	157	1645	4674	1778
win.233	1132	371	104	360	3357	196	1612	189	82	753	332	1231	190	578	228	1386	233	100	2058	5692	1050	1849	3	73	593	2008	20	36	1421	1448	2442	789	1457	1812	5833	1569	45	399	1106	549	167	1634	5113	1789
win.234	1121	371	113	360	3509	198	1614	189	82	753	356	913	192	581	229	1386	233	100	2200	3486	1061	1816	3	73	598	2009	20	38	1444	1439	2527	790	1458	1814	6073	1562	45	399	1118	547	161	1634	5140	1784
win.235	1111	371	101	361	3153	1338	1612	189	84	753	308	384	181	581	224	1386	235	99	2068	4974	1098	1877	3	73	578	2009	21	39	1396	1420	2463	790	1438	1815	5686	1554	46	399	1045	536	161	1593	4911	1784
win.236	1049	371	87	361	2940	1339	1613	189	86	753	283	659	181	847	225	1386	235	99	1923	5779	1107	1772	3	73	558	2013	22	39	1405	1403	2547	788	1494	1808	6075	1550	46	399	1052	529	155	1565	4966	1778
win.237	1113	371	95	361	3182	1337	1611	189	91	753	299	705	185	848	224	1386	236	99	2054	6228	1199	1834	4	73	587	2014	23	36	1493	1413	2754	818	1576	1818	6570	1562	46	399	1141	536	163	1569	5308	1778
win.238	1069	371	94	361	3027	185	1613	189	87	753	307	516	189	866	224	1396	237	99	1912	6045	1209	1851	4	73	594	2014	21	37	1521	1419	2729	819	1598	1820	6422	1579	45	399	1160	531	167	1578	5349	1778
win.239	1095	372	88	360	2970	185	1613	189	87	753	287	1151	198	492	223	1397	239	99	1872	5577	1225	1941	4	73	608	2025	19	37	1559	1502	2710	896	1616	1840	6495	1579	47	399	1178	532	178	1584	5520	1810
win.240	1035	372	88	359	3204	1350	1612	189	87	753	292	1272	192	800	223	1397	239	99	2038	6456	1425	2038	4	78	646	2027	29	42	1833	1550	3232	908	1637	1855	7701	1610	48	401	1276	535	208	1584	6025	1820
win.241	1034	372	85	359	2939	1350	1623	189	86	755	246	1233	184	773	223	1397	241	99	1775	5211	1481	2022	6	75	646	2022	30	41	1997	1595	3487	908	1630	1862	8745	1601	47	402	1315	536	213	1632	6430	1823
win.242	992	371	79	359	2555	181	1623	189	80	755	226	764	176	755	223	1396	241	103	1598	5002	1618	1985	6	76	681	2022	36	41	2279	1536	3968	828	1756	1869	10802	1642	46	399	1590	547	244	1648	7080	1929
win.243	968	371	68	360	2110	183	1623	189	80	755	161	587	178	448	223	1508	240	103	1204	2679	1483	1894	6	76	673	2022	27	36	2172	1541	3818	823	1985	1863	11213	1641	52	401	1655	563	234	1649	7548	2040
win.244	984	371	71	360	2494	184	1623	189	80	755	184	772	181	508	224	1508	240	101	1412	3304	1915	2143	6	76	780	2031	33	40	2776	1737	4789	1025	2469	1899	15548	1701	57	403	2059	601	279	1742	9846	2103
win.245	1010	371	88	360	2719	183	1625	189	81	755	193	606	188	505	225	1508	240	101	1505	3310	1803	2080	5	76	769	2033	31	40	2602	1718	4522	996	2422	1885	15117	1680	53	403	1963	568	269	1731	9668	1965
win.246	1071	371	94	359	3004	181	1625	189	83	755	217	746	193	501	225	1508	240	101	1650	3411	1876	2078	6	76	767	2033	33	39	2662	1708	4593	957	2610	1898	16292	1694	56	405	2041	586	275	1709	9932	2049
win.247	1079	371	101	358	3167	181	1627	189	83	755	238	555	198	448	224	1508	240	101	1753	3238	1438	1816	6	76	663	2024	28	36	1874	1491	3315	782	2164	1872	11692	1662	52	405	1574	562	210	1660	7694	1952
win.248	1071	371	99	358	3406	191	1625	189	84	755	288	558	195	448	223	1508	240	101	1913	3613	1471	1822	7	76	673	2025	30	37	1893	1485	3315	783	2122	1869	11742	1651	53	405	1510	563	212	1664	7610	1992
win.249	1085	371	97	358	3524	194	1631	189	83	755	292	652	194	446	223	1509	240	101	2030	4667	1297	1781	4	77	634	2033	26	37	1649	1530	2899	783	1733	1861	8806	1619	49	405	1237	532	203	1613	6453	1972
win.250	1061	371	94	357	3607	193	1634	189	83	755	313	629	190	854	223	1509	240	101	2000	5941	1270	1845	4	77	623	2037	23	38	1579	1591	2660	910	1575	1869	7077	1589	46	405	1079	538	192	1612	5711	2082
win.251	1129	371	101	358	4108	190	1634	189	85	755	349	787	204	851	223	1507	241	101	2562	7200	1389	2049	7	76	671	2037	25	36	1766	1698	2984	931	1684	1894	7823	1589	47	405	1206	544	206	1614	6330	2052
win.252	1110	371	100	358	4179	188	1641	189	91	755	367	960	203	851	223	1507	241	101	2597	6735	1365	2114	7	76	672	2041	29	37	1826	1596	3192	998	1722	1891	7570	1586	46	405	1248	544	223	1656	6331	2037
