	chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value
1532	chr1	160544685	160544734	CD84	0	-	160544685	160544734	0	1	49	0	-1.33205459218287	0.00260988989255284
1533	chr1	160546979	160547028	CD84	0	-	160546979	160547028	0	1	49	0	0.597661854069824	0.00110666359122824
1534	chr1	160554065	160554114	CD84	0	-	160554065	160554114	0	1	49	0	5.30330490805908	0.000861566629546507
1535	chrX	150768783	150768832	CD99L2	0	-	150768783	150768832	0	1	49	0	2.36712361361187	0.00475263101778745
1536	chr15	42724010	42724059	CDAN1	0	-	42724010	42724059	0	1	49	0	0.970530500811152	0.000766511674477388
1537	chr1	43360081	43360225	CDC20	0	+	43360081	43360225	0	2	17,33	0,112	4.34380542185369	0.00473138476286572
1538	chr5	138285710	138285759	CDC25C	0	-	138285710	138285759	0	1	49	0	4.38202663451285	3.16006682044012e-06
1539	chr17	47120732	47120781	CDC27	0	-	47120732	47120781	0	1	49	0	1.08800773541931	0.000487968595526911
1540	chr19	537050	537099	CDC34	0	+	537050	537099	0	1	49	0	4.8283137373023	0.00202427804637761
1541	chr17	73285149	73285198	CDC42EP4	0	-	73285149	73285198	0	1	49	0	1.23593817624542	0.00295334285738591
1542	chr5	131359475	131359524	CDC42SE2	0	+	131359475	131359524	0	1	49	0	-1.05983674542869	0.000796611879500642
1543	chr1	91524181	91524230	CDC7	0	+	91524181	91524230	0	1	49	0	-1.03069205896196	7.57029083868765e-05
1544	chr1	193122257	193122306	CDC73	0	+	193122257	193122306	0	1	49	0	5.00394630593609	1.00362267385634e-07
1545	chr8	25507166	25507215	CDCA2	0	+	25507166	25507215	0	1	49	0	3.46573590442468	0.000552830233560009
1546	chr14	105011044	105011093	CDCA4	0	-	105011044	105011093	0	1	49	0	1.89265799018237	9.09144558358665e-06
1547	chr17	39461760	39461809	CDK12	0	+	39461760	39461809	0	1	49	0	3.04452243772283	0.000273900655686221
1548	chr17	39462359	39462408	CDK12	0	+	39462359	39462408	0	1	49	0	0.686838011366681	0.00407763304292419
1549	chr17	39462709	39462758	CDK12	0	+	39462709	39462758	0	1	49	0	0.840354564076428	0.000115893903757214
1550	chr17	39462808	39462857	CDK12	0	+	39462808	39462857	0	1	49	0	-1.31872093628719	0.00310924011328639
CDK12,1721	chr17	39470968	39471067	CDK12	0	+	39470968	39471067	0	1	99	0	-0.973449145714103	1.05814922260894e-05
1551	chr17	39533119	39533168	CDK12	0	+	39533119	39533168	0	1	49	0	3.91202300656346	0.000870464997854037
1552	chr12	96280146	96280195	CDK17	0	-	96280146	96280195	0	1	49	0	0.553123879991897	0.00334041857000467
1553	chr17	47981688	47981737	CDK5RAP3	0	+	47981688	47981737	0	1	49	0	4.90527477843843	0.00176499265987584
1554	chr4	183447254	183447303	CDKN2AIP	0	+	183447254	183447303	0	1	49	0	0.936344417611211	0.000305346290777165
1555	chr9	22005891	22005940	CDKN2B	0	-	22005891	22005940	0	1	49	0	4.9272536851572	0.00169707218486081
1556	chr16	22346722	22346771	CDR2	0	-	22346722	22346771	0	1	49	0	-1.50754360475297	0.00223768471801256
1557	chr16	22347606	22347655	CDR2	0	-	22347606	22347655	0	1	49	0	-0.792964410250848	0.000244763526553449
1558	chr16	22347704	22347753	CDR2	0	-	22347704	22347753	0	1	49	0	-0.602804317979312	0.00480388642381047
1559	chr3	133586610	133586659	CDV3	0	+	133586610	133586659	0	1	49	0	-1.16596036413229	5.35218576510621e-05
1560	chr3	133587891	133587940	CDV3	0	+	133587891	133587940	0	1	49	0	0.937026630353333	0.001176084902619
1561	chr6	4892079	4892128	CDYL	0	+	4892079	4892128	0	1	49	0	-5.36129216570006	8.79824143088515e-05
1562	chr19	41709817	41709866	CEACAM5	0	+	41709817	41709866	0	1	49	0	4.24849524204936	0.00178236790959496
1563	chr19	33304470	33304519	CEBPA-AS1	0	+	33304470	33304519	0	1	49	0	-2.6869967919548	0.0021312846425201
1564	chr19	33304764	33304813	CEBPA-AS1	0	+	33304764	33304813	0	1	49	0	-0.97220850996782	0.000452247042944109
1565	chr20	50192299	50192348	CEBPB	0	+	50192299	50192348	0	1	49	0	1.03044963713089	0.000216482070397595
1566	chr14	23119213	23119262	CEBPE	0	-	23119213	23119262	0	1	49	0	1.69227391801391	0.00321044478035048
1567	chr2	37228825	37228874	CEBPZ	0	-	37228825	37228874	0	1	49	0	-0.975415054620855	0.000945645527483996
1568	chr9	133071615	133071664	CEL	0	+	133071615	133071664	0	1	49	0	-4.753590191097	0.00048146927236381
1569	chr10	11333527	11333576	CELF2	0	+	11333527	11333576	0	1	49	0	5.3082676974012	0.000254271220947677
1570	chr3	48640147	48640196	CELSR3	0	-	48640147	48640196	0	1	49	0	3.22772544014489	0.00052261803418574
1571	chr20	3784847	3784896	CENPB	0	-	3784847	3784896	0	1	49	0	-1.13943428318837	0.00193413361887984
CENPB,1520	chr20	3785246	3785395	CENPB	0	-	3785246	3785395	0	1	149	0	1.36524095192291	4.43473524745365e-07
1572	chr16	89971895	89971944	CENPBD1	0	-	89971895	89971944	0	1	49	0	-4.89783979994155	0.00470512143752055
1573	chr19	58581554	58581603	CENPBD1P1	0	+	58581554	58581603	0	1	49	0	-2.28238238567873	0.000865588389202476
1574	chr4	67514251	67514300	CENPC	0	-	67514251	67514300	0	1	49	0	-1.15901356154533	8.25846846216338e-05
1575	chr1	214640264	214640313	CENPF	0	+	214640264	214640313	0	1	49	0	0.529497091137866	0.00161147163879305
1576	chr1	214642063	214642112	CENPF	0	+	214642063	214642112	0	1	49	0	1.26711526213471	0.00108559669115416
1577	chr1	214647094	214647143	CENPF	0	+	214647094	214647143	0	1	49	0	-1.83515878476261	3.02891966600383e-05
CENPF,8022	chr1	214647344	214648767	CENPF	0	+	214647344	214648767	0	2	57,93	0,1331	1.10901311659762	1.25691004367229e-08
1578	chr1	214657121	214657170	CENPF	0	+	214657121	214657170	0	1	49	0	-1.35684715979132	0.00333785310925472
1579	chrX	101162891	101162940	CENPI	0	+	101162891	101162940	0	1	49	0	4.15888308335223	0.000115287363835148
1580	chr13	24899565	24903955	CENPJ	0	-	24899565	24903955	0	2	20,30	0,4361	-1.0613649358	0.00134856165660602
1581	chr13	24906937	24907116	CENPJ	0	-	24906937	24907116	0	2	24,26	0,154	3.61581988324297	0.00266562472844989
1582	chr13	24912623	24912672	CENPJ	0	-	24912623	24912672	0	1	49	0	1.38817937581566	0.00138436536135
1583	chr1	173800147	173800196	CENPL	0	-	173800147	173800196	0	1	49	0	-4.70436889707409	0.000902157368586786
1584	chr1	173803038	173803087	CENPL	0	-	173803038	173803087	0	1	49	0	-5.03043792138307	7.58176732019722e-05
1585	chr1	173803138	173803187	CENPL	0	-	173803138	173803187	0	1	49	0	-0.94372927632918	8.47231626713851e-05
1586	chr2	24819880	24819929	CENPO	0	+	24819880	24819929	0	1	49	0	-1.47976008912557	0.00193421856902087
1587	chr9	92614118	92614167	CENPP	0	+	92614118	92614167	0	1	49	0	-1.70602768292433	0.00258037746092099
1588	chr9	92614266	92614315	CENPP	0	+	92614266	92614315	0	1	49	0	3.82864139744209	0.00105816917709778
1589	chr14	80777903	80777952	CEP128	0	-	80777903	80777952	0	1	49	0	1.24364713508736	0.000615630013229174
1590	chr6	84152823	84152872	CEP162	0	-	84152823	84152872	0	1	49	0	-1.15364476100065	0.000101337051257477
1591	chr20	35502857	35502906	CEP250	0	+	35502857	35502906	0	1	49	0	3.57421654527405	0.00070368567977408
1592	chr20	35504651	35504700	CEP250	0	+	35504651	35504700	0	1	49	0	-2.81341071477133	0.00298511073028473
1593	chr20	35504950	35504999	CEP250	0	+	35504950	35504999	0	1	49	0	2.17171681778896	0.000260650930768658
1594	chr12	88058950	88058999	CEP290	0	-	88058950	88058999	0	1	49	0	4.61512051684127	0.00295032672682349
1595	chr11	93727371	93727420	CEP295	0	+	93727371	93727420	0	1	49	0	-0.746514734143816	0.0012888677365005
1596	chr1	180011945	180011994	CEP350	0	+	180011945	180011994	0	1	49	0	1.61040207770242	0.00191185600793542
1597	chr1	180014264	180014313	CEP350	0	+	180014264	180014313	0	1	49	0	-1.50457552879156	8.95883164165889e-05
1598	chr1	180020681	180020730	CEP350	0	+	180020681	180020730	0	1	49	0	0.861743285574926	0.00117038374736966
1599	chr2	65072473	65072522	CEP68	0	+	65072473	65072522	0	1	49	0	0.644014491987823	0.00161033814040823
1600	chr3	101765068	101765117	CEP97	0	+	101765068	101765117	0	1	49	0	-1.68928079992947	0.00247548246299889
1601	chr22	46686158	46686207	CERK	0	-	46686158	46686207	0	1	49	0	-1.15605018825612	0.00383727722927063
1602	chr16	66935680	66935729	CES2	0	+	66935680	66935729	0	1	49	0	-1.41369333530801	0.00113879201187483
1603	chr3	113291375	113291424	CFAP44	0	-	113291375	113291424	0	1	49	0	0.883836987024416	0.00109170642319889
1604	chr3	113291525	113291574	CFAP44	0	-	113291525	113291574	0	1	49	0	3.32022831860874	0.000714954932539147
1605	chr2	201129893	201129942	CFLAR	0	+	201129893	201129942	0	1	49	0	0.754977025150988	0.000755397025098193
1606	chr2	201129993	201130042	CFLAR	0	+	201129993	201130042	0	1	49	0	1.82874268744115	4.30139998316426e-05
1607	chr2	201168097	201168146	CFLAR	0	+	201168097	201168146	0	1	49	0	5.48479693349065	0.000618755221099776
1608	chr19	4409498	4409547	CHAF1A	0	+	4409498	4409547	0	1	49	0	1.12512681021164	0.00393036478374442
1609	chr13	114324106	114324155	CHAMP1	0	+	114324106	114324155	0	1	49	0	1.68226037213408	0.000897511455277167
1610	chr13	114324403	114324452	CHAMP1	0	+	114324403	114324452	0	1	49	0	0.524394352972059	0.00152247265953431
1611	chr13	114325643	114325692	CHAMP1	0	+	114325643	114325692	0	1	49	0	1.45198962038612	0.00426142459812795
1612	chr7	132785259	132785308	CHCHD3	0	-	132785259	132785308	0	1	49	0	-3.43398720249644	0.00258480096511926
1613	chr15	92997323	92997372	CHD2	0	+	92997323	92997372	0	1	49	0	-4.45434729624414	0.000128604757639428
1614	chr8	60741889	60741938	CHD7	0	+	60741889	60741938	0	1	49	0	0.5070283357213	0.00126976145163526
1615	chr8	60742987	60743036	CHD7	0	+	60742987	60743036	0	1	49	0	0.529266216099105	0.00179692455021485
CHD7,2471	chr8	60781239	60781338	CHD7	0	+	60781239	60781338	0	1	99	0	-0.65957088502634	1.34500531141898e-05
1616	chr8	60795043	60795092	CHD7	0	+	60795043	60795092	0	1	49	0	0.544701268384845	0.00243087969361355
1617	chr8	60816392	60816441	CHD7	0	+	60816392	60816441	0	1	49	0	-5.93753620507306	2.49973812971316e-05
1618	chr14	21385693	21385742	CHD8	0	-	21385693	21385742	0	1	49	0	-0.920660731545274	0.000623314045230638
1619	chr16	53304325	53304374	CHD9	0	+	53304325	53304374	0	1	49	0	-5.22035582506896	0.0041814684043131
1620	chr16	53324214	53324263	CHD9	0	+	53324214	53324263	0	1	49	0	-1.09664957950026	0.00215621698194146
1621	chr16	53324414	53324463	CHD9	0	+	53324414	53324463	0	1	49	0	-0.652152040857021	0.00155553780867679
1622	chr19	16518988	16519037	CHERP	0	-	16518988	16519037	0	1	49	0	1.59836768869432	2.10817809137564e-05
1623	chr19	16519137	16519186	CHERP	0	-	16519137	16519186	0	1	49	0	-0.851660597160586	0.000275271614138206
1624	chr1	203179030	203179079	CHI3L1	0	-	203179030	203179079	0	1	49	0	0.74795541705494	0.00230705629623862
1625	chr1	203179179	203179228	CHI3L1	0	-	203179179	203179228	0	1	49	0	3.92197333628132	0.000252616088675328
1626	chr11	869049	869098	CHID1	0	-	869049	869098	0	1	49	0	-0.812638158561485	0.00137214515220829
1627	chr11	68053748	68053797	CHKA	0	-	68053748	68053797	0	1	49	0	0.809264936897268	0.000157032754998232
1628	chr1	241635831	241635880	CHML	0	-	241635831	241635880	0	1	49	0	-0.755339200816393	0.00128400466434531
1629	chr18	11852130	11852179	CHMP1B	0	+	11852130	11852179	0	1	49	0	-0.741179521935534	0.000195199927783607
1630	chr7	151233835	151233884	CHPF2	0	+	151233835	151233884	0	1	49	0	4.40671924726425	0.00424378937490288
1631	chr7	151237731	151237780	CHPF2	0	+	151237731	151237780	0	1	49	0	1.97040916951575	0.00223676897337377
1632	chr7	2433986	2434035	CHST12	0	+	2433986	2434035	0	1	49	0	1.03609193168678	0.000847637982593574
1633	chr16	69120224	69120273	CHTF8	0	-	69120224	69120273	0	1	49	0	0.901154666085951	0.00143122068294699
1634	chr16	69121071	69121120	CHTF8	0	-	69121071	69121120	0	1	49	0	4.9767337424112	2.61097419795853e-07
1635	chr19	42272864	42272913	CIC	0	+	42272864	42272913	0	1	49	0	5.48063892334198	0.00062348734670703
1636	chr19	42273413	42273462	CIC	0	+	42273413	42273462	0	1	49	0	1.49793433226279	0.00226722926813727
CIC,2071	chr19	42273712	42273811	CIC	0	+	42273712	42273811	0	1	99	0	0.82425736557354	8.0938375958004e-06
1637	chr19	42274461	42274510	CIC	0	+	42274461	42274510	0	1	49	0	0.782702983759184	0.001040607412789
1638	chr19	19546060	19546109	CILP2	0	+	19546060	19546109	0	1	49	0	-1.03307951086697	0.00170921004403479
1639	chr14	77113990	77114039	CIPC	0	+	77113990	77114039	0	1	49	0	1.27063285982493	0.000869344403774175
1640	chr2	174348648	174348697	CIR1	0	-	174348648	174348697	0	1	49	0	-0.738141426360998	0.000242727242230512
1641	chr19	1270018	1270067	CIRBP-AS1	0	-	1270018	1270067	0	1	49	0	-4.04305126782518	0.00449239570596427
1642	chr10	58287838	58287887	CISD1	0	+	58287838	58287887	0	1	49	0	4.38825718442452	7.49844858410897e-05
1643	chr6	139373535	139373584	CITED2	0	-	139373535	139373584	0	1	49	0	0.567970154404934	0.000761160971432861
1644	chr6	139373682	139373731	CITED2	0	-	139373682	139373731	0	1	49	0	0.773811044847033	0.00100220541374652
1645	chr13	52461165	52461214	CKAP2	0	+	52461165	52461214	0	1	49	0	-0.803279685645206	0.000629425973345588
1646	chr2	112756303	112756352	CKAP2L	0	-	112756303	112756352	0	1	49	0	-1.82589247559928	0.00165607439261495
1647	chr12	106238976	106239025	CKAP4	0	-	106238976	106239025	0	1	49	0	-0.98259822570016	0.000532152616087522
1648	chr16	1445380	1445429	CLCN7	0	-	1445380	1445429	0	1	49	0	2.10614370030894	0.00173908663115796
1649	chr16	11179045	11179094	CLEC16A	0	+	11179045	11179094	0	1	49	0	0.585788662243954	0.000805489814422078
1650	chr5	157787888	157787937	CLINT1	0	-	157787888	157787937	0	1	49	0	1.28261593164505	0.000225611444417018
1651	chr12	122341272	122341321	CLIP1	0	-	122341272	122341321	0	1	49	0	-1.52846884990051	0.00260180977704072
1652	chr7	74376310	74376359	CLIP2	0	+	74376310	74376359	0	1	49	0	-1.13497993283898	0.000114235415496156
1653	chr11	57661417	57661466	CLP1	0	+	57661417	57661466	0	1	49	0	0.823330729378531	0.000444901717658763
1654	chr1	35751462	35753749	CLSPN	0	-	35751462	35753749	0	2	45,5	0,2283	1.37463727657767	2.16521537420578e-05
1655	chr1	35753849	35753898	CLSPN	0	-	35753849	35753898	0	1	49	0	-6.52356230614014	8.55760127916882e-05
1656	chr1	9730614	9730663	CLSTN1	0	-	9730614	9730663	0	1	49	0	2.48622852704577	7.02420914989732e-05
1657	chr22	19179871	19179920	CLTCL1	0	-	19179871	19179920	0	1	49	0	4.40671924726425	0.00424378937490288
1658	chr18	74520225	74520274	CNDP2	0	+	74520225	74520274	0	1	49	0	0.886499820786175	0.00186318303898647
1659	chr16	50035758	50035807	CNEP1R1	0	+	50035758	50035807	0	1	49	0	-3.33220451038404	0.00166191765692247
1660	chr10	102919958	102920007	CNNM2	0	+	102919958	102920007	0	1	49	0	-1.2640148452928	0.000811707012911999
1661	chr10	103077246	103077295	CNNM2	0	+	103077246	103077295	0	1	49	0	6.00141487795178	7.662549716958e-08
1662	chr12	70353952	70354001	CNOT2	0	+	70353952	70354001	0	1	49	0	0.79088946533236	0.000685092647625396
1663	chr7	135363042	135363091	CNOT4	0	-	135363042	135363091	0	1	49	0	3.8286413964891	0.00376471317913774
1664	chr7	135393980	135394029	CNOT4	0	-	135393980	135394029	0	1	49	0	-1.82061829768992	0.00059118073933595
1665	chr17	41968717	41971917	CNP	0	+	41968717	41971917	0	2	24,26	0,3175	0.638854098193283	0.000333273682833868
1666	chr1	23874414	23874463	CNR2	0	-	23874414	23874463	0	1	49	0	0.925973432590572	0.00201678730216992
1667	chr1	246647735	246647784	CNST	0	+	246647735	246647784	0	1	49	0	1.60669442650154	0.00379919164149967
1668	chr9	17394708	17394757	CNTLN	0	+	17394708	17394757	0	1	49	0	3.19867311755068	0.0015479325939779
1669	chr9	121177409	121177458	CNTRL	0	+	121177409	121177458	0	1	49	0	5.30826770083552	1.84990278395691e-05
1670	chr11	73872907	73872956	COA4	0	-	73872907	73872956	0	1	49	0	1.45689088434085	0.00220506698764655
1671	chr1	234374373	234383755	COA6	0	+	234374373	234383755	0	2	17,33	0,9350	1.92990980770886	0.000479035063946642
1672	chr1	52688013	52688062	COA7	0	-	52688013	52688062	0	1	49	0	-1.49710872746021	0.00233443234791686
1673	chr1	52692866	52698268	COA7	0	-	52692866	52698268	0	2	2,48	0,5355	1.35812348415319	0.000659547326481325
1674	chr17	73201582	73201631	COG1	0	+	73201582	73201631	0	1	49	0	1.01986980221533	0.000623411158373832
1675	chr16	69335107	69335156	COG8	0	-	69335107	69335156	0	1	49	0	1.4729464781815	0.00347038160206503
1676	chr17	56950180	56950229	COIL	0	-	56950180	56950229	0	1	49	0	-1.02881652673257	0.000650408491052912
1677	chr5	178237715	178237764	COL23A1	0	-	178237715	178237764	0	1	49	0	0.807622902506706	0.000844193632636214
1678	chr19	17581460	17581509	COLGALT1	0	+	17581460	17581509	0	1	49	0	-0.714370077366328	0.00227947433226916
1679	chr10	22329110	22329243	COMMD3-BMI1	0	+	22329110	22329243	0	2	19,31	0,103	-3.36392598686464	0.000209228195422795
1680	chr15	49126313	49126362	COPS2	0	-	49126313	49126362	0	1	49	0	-5.04342511690988	0.000360850056657536
1681	chr15	49127649	49127698	COPS2	0	-	49127649	49127698	0	1	49	0	0.573052005142026	0.00107332678779937
1682	chr2	231807776	231807825	COPS7B	0	+	231807776	231807825	0	1	49	0	1.25276296849536	0.000932210249859344
1683	chr16	19078916	19078965	COQ7	0	+	19078916	19078965	0	1	49	0	-5.02716459604748	0.00240462814675901
1684	chr12	108647096	108647145	CORO1C	0	-	108647096	108647145	0	1	49	0	1.64757078212954	0.000213704904154066
1685	chr9	98122812	98122861	CORO2A	0	-	98122812	98122861	0	1	49	0	1.1190509563453	0.00453401109741491
1686	chr17	14030139	14030188	COX10-AS1	0	-	14030139	14030188	0	1	49	0	-2.34255235341006	0.000942579067544136
1687	chr10	99714340	99714389	COX15	0	-	99714340	99714389	0	1	49	0	4.89034912822176	0.00181263476302296
1688	chr7	966746	966795	COX19	0	-	966746	966795	0	1	49	0	-1.0286537000612	0.00243055833827488
1689	chr17	30464780	30464829	CPD	0	+	30464780	30464829	0	1	49	0	0.739254637915129	0.000523149792630018
1690	chr5	173889027	173889076	CPEB4	0	+	173889027	173889076	0	1	49	0	1.49691624085345	0.000153825023714527
1691	chr20	35653640	35653689	CPNE1	0	-	35653640	35653689	0	1	49	0	0.817340494577248	0.000684561920562321
1692	chr8	144393281	144393330	CPSF1	0	-	144393281	144393330	0	1	49	0	5.4510384535657	0.00065817388730649
1693	chr14	92143279	92154391	CPSF2	0	+	92143279	92154391	0	2	16,34	0,11079	-0.738297145288659	0.00135302394199222
1694	chr14	92161209	92161663	CPSF2	0	+	92161209	92161663	0	2	38,12	0,443	5.53338948872752	0.000566066881525717
1695	chr11	61403094	61403143	CPSF7	0	-	61403094	61403143	0	1	49	0	-0.583819389645288	0.00104787802442008
1696	chr1	53210258	53210307	CPT2	0	+	53210258	53210307	0	1	49	0	-1.10930757778485	0.00305313505573557
1697	chr1	53211306	53213299	CPT2	0	+	53211306	53213299	0	2	14,36	0,1958	1.65025990695811	0.00398215620804865
1698	chr1	53213849	53213898	CPT2	0	+	53213849	53213898	0	1	49	0	4.99721227375475	9.53909740086802e-08
1699	chr20	2794169	2794218	CPXM1	0	-	2794169	2794218	0	1	49	0	-4.51906748594454	0.00123719121680455
1700	chr16	1674770	1674819	CRAMP1L	0	+	1674770	1674819	0	1	49	0	2.46530948083586	2.7545392026318e-05
1701	chr16	3727754	3727803	CREBBP	0	-	3727754	3727803	0	1	49	0	-0.909035560992984	0.00399533475994851
1702	chr16	3728354	3728403	CREBBP	0	-	3728354	3728403	0	1	49	0	2.77147202797031	0.00319985868729789
1703	chr16	3728504	3728553	CREBBP	0	-	3728504	3728553	0	1	49	0	0.842182759720432	0.000333478040025259
1704	chr16	3728704	3728753	CREBBP	0	-	3728704	3728753	0	1	49	0	-6.60529792093883	1.52094653553814e-05
1705	chr5	173091205	173091254	CREBRF	0	+	173091205	173091254	0	1	49	0	1.11011989551959	0.00263847707376996
1706	chr11	85664092	85664141	CREBZF	0	-	85664092	85664141	0	1	49	0	-0.582319595012147	0.00194127037181535
1707	chr22	20950067	20950116	CRKL	0	+	20950067	20950116	0	1	49	0	1.39252491087978	6.12849202350496e-05
1708	chr22	20953003	20953052	CRKL	0	+	20953003	20953052	0	1	49	0	0.766698700637651	0.000784160944293677
1709	chr3	33146384	33146433	CRTAP	0	+	33146384	33146433	0	1	49	0	4.54329478226064	2.35589398678293e-06
1710	chr3	97876454	97876503	CRYBG3	0	+	97876454	97876503	0	1	49	0	1.67221431857827	0.000314060914640368
1711	chr3	97876653	97876702	CRYBG3	0	+	97876653	97876702	0	1	49	0	-0.973937426973794	0.00303225404132001
1712	chr3	97877001	97877050	CRYBG3	0	+	97877001	97877050	0	1	49	0	2.11996937533453	1.14602806611241e-05
1713	chr1	114739708	114739757	CSDE1	0	-	114739708	114739757	0	1	49	0	-1.46844233272889	0.000530515464984727
1714	chr22	36937790	36937839	CSF2RB	0	+	36937790	36937839	0	1	49	0	2.93385686834251	0.00165399335086147
1715	chr22	36938140	36938189	CSF2RB	0	+	36938140	36938189	0	1	49	0	-1.45014583310642	0.000346434703468623
1716	chr1	36473786	36473835	CSF3R	0	-	36473786	36473835	0	1	49	0	2.86410383107556	0.000107207986387747
1717	chr8	19405856	19405905	CSGALNACT1	0	-	19405856	19405905	0	1	49	0	-5.41610040219505	0.00263282054298075
1718	chr10	43155220	43155269	CSGALNACT2	0	+	43155220	43155269	0	1	49	0	1.03762685140486	0.00121451050996735
1719	chr10	43183422	43183471	CSGALNACT2	0	+	43183422	43183471	0	1	49	0	1.74275189012163	0.00128643394803485
1720	chr15	64170942	64170991	CSNK1G1	0	-	64170942	64170991	0	1	49	0	0.729326837136993	0.00119025821962415
1721	chr15	64300382	64300431	CSNK1G1	0	-	64300382	64300431	0	1	49	0	-0.901074257168007	0.0022578147944895
1722	chr19	1969792	1969841	CSNK1G2	0	+	1969792	1969841	0	1	49	0	0.806115570420786	0.000477511313678125
1723	chr19	1978479	1978618	CSNK1G2	0	+	1978479	1978618	0	2	33,17	0,123	6.26149168980673	1.27768444313503e-06
1724	chr8	67095551	67095600	CSPP1	0	+	67095551	67095600	0	1	49	0	-1.2180665674018	0.00199946183774302
1725	chr12	51063976	51064025	CSRNP2	0	-	51063976	51064025	0	1	49	0	-1.17454399363511	0.00273196079861648
1726	chr12	51064471	51064520	CSRNP2	0	-	51064471	51064520	0	1	49	0	5.88332238848828	0.000296920110195109
1727	chr20	18142624	18142673	CSRP2BP	0	+	18142624	18142673	0	1	49	0	4.77068462446567	0.00224230483289833
1728	chr20	56399230	56399279	CSTF1	0	+	56399230	56399279	0	1	49	0	1.0675429666564	0.00155373379909307
1729	chr10	51698358	51698407	CSTF2T	0	-	51698358	51698407	0	1	49	0	-0.91041987352437	0.000401462199061564
1730	chr10	51698655	51698704	CSTF2T	0	-	51698655	51698704	0	1	49	0	-1.0034485110308	0.00299598660236389
1731	chr10	51699298	51699347	CSTF2T	0	-	51699298	51699347	0	1	49	0	-0.61716906851298	0.00233846869051335
1732	chr10	124989347	124989396	CTBP2	0	-	124989347	124989396	0	1	49	0	-1.27370614234078	7.90416260058047e-05
1733	chr15	44524248	44524297	CTDSPL2	0	+	44524248	44524297	0	1	49	0	0.815749502652279	0.000181673352294354
1734	chr10	48010532	48010581	CTGLF12P	0	-	48010532	48010581	0	1	49	0	-1.33943894383834	0.00422137355477059
1735	chr10	48010930	48010979	CTGLF12P	0	-	48010930	48010979	0	1	49	0	1.3159187313421	0.00116142877969039
1736	chr11	88326300	88326349	CTSC	0	-	88326300	88326349	0	1	49	0	-2.33687416647267	5.42975261853539e-05
1737	chr20	58995437	58995486	CTSZ	0	-	58995437	58995486	0	1	49	0	-0.754357911604841	0.00292143098145947
1738	chr20	58996666	58996715	CTSZ	0	-	58996666	58996715	0	1	49	0	-0.533287505621263	0.000999927310684767
1739	chr2	224474187	224474236	CUL3	0	-	224474187	224474236	0	1	49	0	-1.13480441726149	0.00338023635080065
1740	chr10	99755795	99755844	CUTC	0	+	99755795	99755844	0	1	49	0	1.02412992489639	0.0013702920363462
1741	chr7	102200081	102200130	CUX1	0	+	102200081	102200130	0	1	49	0	-1.58412010444981	0.000535825519426436
1742	chr7	102248893	102248942	CUX1	0	+	102248893	102248942	0	1	49	0	-0.582715529362218	0.0023054934715433
1743	chr7	102249193	102249242	CUX1	0	+	102249193	102249242	0	1	49	0	-1.77182525432675	0.000826760217079059
1744	chr2	179945324	179945373	CWC22	0	-	179945324	179945373	0	1	49	0	-1.52702922395448	0.000648552964551019
1745	chr11	107326843	107326892	CWF19L2	0	-	107326843	107326892	0	1	49	0	1.43404879241432	0.00233975172755974
1746	chr2	218135410	218135459	CXCR2	0	+	218135410	218135459	0	1	49	0	-1.0900285449764	0.00431170612508402
1747	chr2	218136357	218136406	CXCR2	0	+	218136357	218136406	0	1	49	0	1.45167712038283	0.00261772432976881
1748	chr2	218136756	218136805	CXCR2	0	+	218136756	218136805	0	1	49	0	-0.938385265580399	0.00143242976966784
1749	chr2	218059503	218059552	CXCR2P1	0	-	218059503	218059552	0	1	49	0	4.07187170585029	0.000237534635493808
1750	chr2	136115278	136115327	CXCR4	0	-	136115278	136115327	0	1	49	0	0.62778981595118	0.00151160399197681
1751	chr2	136115522	136115571	CXCR4	0	-	136115522	136115571	0	1	49	0	-0.976483600175887	0.00194821434395265
1752	chrX	149545763	149545812	CXorf40A	0	+	149545763	149545812	0	1	49	0	1.13345901999828	0.000336067187882261
1753	chr1	109496326	109496375	CYB561D1	0	+	109496326	109496375	0	1	49	0	0.582161901177352	0.00391375256344273
1754	chr5	157393410	157393459	CYFIP2	0	+	157393410	157393459	0	1	49	0	5.55682806169953	0.000542245633549987
1755	chr8	144450228	144450277	CYHR1	0	-	144450228	144450277	0	1	49	0	1.51229748732355	0.00366461130592521
1756	chr8	144450474	144450523	CYHR1	0	-	144450474	144450523	0	1	49	0	-1.04222756925746	0.00351508298351355
1757	chr19	15878613	15878662	CYP4F2	0	-	15878613	15878662	0	1	49	0	-2.87167962488346	6.87996386192769e-05
1758	chr19	15659468	15659517	CYP4F3	0	+	15659468	15659517	0	1	49	0	1.31676829847128	0.000145820968775801
1759	chr19	48481027	48481076	CYTH2	0	+	48481027	48481076	0	1	49	0	-0.640458699339871	0.00179403920328192
1760	chr7	6165362	6165411	CYTH3	0	-	6165362	6165411	0	1	49	0	0.95213686364729	0.00433547579046789
1761	chr22	37314402	37314451	CYTH4	0	+	37314402	37314451	0	1	49	0	2.1521849468625	0.00161235538747451
1762	chr2	241743813	241744755	D2HGDH	0	+	241743813	241744755	0	2	3,47	0,896	4.82028156962011	9.41703317971499e-05
